"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of Citable OA
"Lancet Public Health","LANCET PUBLIC HEALTH","ELSEVIER SCI LTD","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","10,449","72.427","Q1","9.95","98.25"%,
"CHEMICAL REVIEWS","CHEM REV","AMER CHEMICAL SOC","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY","SCIE","243,908","72.087","Q1","4.02","15.99"%,
"LANCET INFECTIOUS DISEASES","LANCET INFECT DIS","ELSEVIER SCI LTD","1473-3099","1474-4457","INFECTIOUS DISEASES","SCIE","52,836","71.421","Q1","6.96","19.87"%,
"NATURE REVIEWS CANCER","NAT REV CANCER","NATURE PORTFOLIO","1474-175X","1474-1768","ONCOLOGY","SCIE","66,699","69.8","Q1","7.95","0.7"%,
"NATURE","NATURE","NATURE PORTFOLIO","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","SCIE","1,008,561","69.504","Q1","10.86","8.05"%,
"NATURE BIOTECHNOLOGY","NAT BIOTECHNOL","NATURE PORTFOLIO","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","91,927","68.164","Q1","11.12","7.43"%,
"Nature Energy","NAT ENERGY","NATURE PORTFOLIO","2058-7546","2058-7546","ENERGY & FUELS","SCIE","37,355","67.439","Q1","8.08","2.56"%,
"Nature Energy","NAT ENERGY","NATURE PORTFOLIO","2058-7546","2058-7546","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","37,355","67.439","Q1","8.08","2.56"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","362,239","66.85","Q1","8.92","18.5"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","CELL BIOLOGY","SCIE","362,239","66.85","Q1","8.92","18.5"%,
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","NATURE PORTFOLIO","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","SCIE","21,565","65.038","Q1","13.5","5.88"%,
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","NATURE PORTFOLIO","1759-4774","1759-4782","ONCOLOGY","SCIE","22,751","65.011","Q1","7.99","5"%,
"SCIENCE","SCIENCE","AMER ASSOC ADVANCEMENT SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES","SCIE","883,850","63.832","Q1","10.15","0.46"%,
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","ROYAL SOC CHEMISTRY","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY","SCIE","187,107","60.615","Q1","3.23","19.89"%,
"LANCET NEUROLOGY","LANCET NEUROL","ELSEVIER SCIENCE INC","1474-4422","1474-4465","CLINICAL NEUROLOGY","SCIE","49,222","59.935","Q1","10.78","11.06"%,
"NATURE REVIEWS GENETICS","NAT REV GENET","NATURE PORTFOLIO","1471-0056","1471-0064","GENETICS & HEREDITY","SCIE","46,472","59.924","Q1","6.14","3.95"%,
"Psychological Science in the Public Interest","PSYCHOL SCI PUBL INT","SAGE PUBLICATIONS LTD","1529-1006","1539-6053","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","2,781","56.2","Q1","11.44","20"%,
"LANCET ONCOLOGY","LANCET ONCOL","ELSEVIER SCIENCE INC","1470-2045","1474-5488","ONCOLOGY","SCIE","79,244","54.433","Q1","8.5","6.53"%,
"ANNALS OF ONCOLOGY","ANN ONCOL","ELSEVIER","0923-7534","1569-8041","ONCOLOGY","SCIE","68,844","51.769","Q1","4.81","50.98"%,
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","AMER COLL PHYSICIANS","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","SCIE","83,712","51.598","Q1","6.01","0"%,
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","LIPPINCOTT WILLIAMS & WILKINS","0732-183X","1527-7755","ONCOLOGY","SCIE","195,690","50.739","Q1","5.64","24.06"%,
"REVIEWS OF MODERN PHYSICS","REV MOD PHYS","AMER PHYSICAL SOC","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY","SCIE","60,783","50.485","Q1","8.56","19"%,
"CLINICAL MICROBIOLOGY REVIEWS","CLIN MICROBIOL REV","AMER SOC MICROBIOLOGY","0893-8512","1098-6618","MICROBIOLOGY","SCIE","28,780","50.129","Q1","3.66","0.88"%,
"Nature Reviews Cardiology","NAT REV CARDIOL","NATURE PORTFOLIO","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","15,496","49.421","Q1","5.75","3.87"%,
"PROGRESS IN MATERIALS SCIENCE","PROG MATER SCI","PERGAMON-ELSEVIER SCIENCE LTD","0079-6425","1873-2208","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","25,960","48.165","Q1","2.54","12.92"%,
"NATURE METHODS","NAT METHODS","NATURE PORTFOLIO","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS","SCIE","108,143","47.99","Q1","8.64","7.05"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","CHEMISTRY, PHYSICAL","SCIE","119,078","47.656","Q1","7.02","1.46"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","119,078","47.656","Q1","7.02","1.46"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","PHYSICS, APPLIED","SCIE","119,078","47.656","Q1","7.02","1.46"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","PHYSICS, CONDENSED MATTER","SCIE","119,078","47.656","Q1","7.02","1.46"%,
"Nature Reviews Endocrinology","NAT REV ENDOCRINOL","NATURE PORTFOLIO","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM","SCIE","18,734","47.564","Q1","5.37","4.23"%,
"PHYSIOLOGICAL REVIEWS","PHYSIOL REV","AMER PHYSIOLOGICAL SOC","0031-9333","1522-1210","PHYSIOLOGY","SCIE","39,944","46.513","Q1","4.58","11.86"%,
"CELL RESEARCH","CELL RES","SPRINGERNATURE","1001-0602","1748-7838","CELL BIOLOGY","SCIE","29,211","46.351","Q1","3.03","57.08"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","CHEMISTRY, PHYSICAL","SCIE","26,944","46.048","Q1","5.02","4.69"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","ENERGY & FUELS","SCIE","26,944","46.048","Q1","5.02","4.69"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","26,944","46.048","Q1","5.02","4.69"%,
"Lancet Gastroenterology & Hepatology","LANCET GASTROENTEROL","ELSEVIER INC","N/A","2468-1253","GASTROENTEROLOGY & HEPATOLOGY","SCIE","10,881","45.042","Q1","4.81","8.81"%,
"Lancet Diabetes & Endocrinology","LANCET DIABETES ENDO","ELSEVIER SCIENCE INC","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM","SCIE","17,810","44.867","Q1","6.62","5.58"%,
"Nature Reviews Neurology","NAT REV NEUROL","NATURE PORTFOLIO","1759-4758","1759-4766","CLINICAL NEUROLOGY","SCIE","18,852","44.711","Q1","6.67","4.9"%,
"JAMA Internal Medicine","JAMA INTERN MED","AMER MEDICAL ASSOC","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL","SCIE","31,244","44.424","Q1","4.86","12.93"%,
"Immunity","IMMUNITY","CELL PRESS","1074-7613","1097-4180","IMMUNOLOGY","SCIE","82,516","43.474","Q1","5.62","14.43"%,
"Living Reviews in Relativity","LIVING REV RELATIV","SPRINGER INT PUBL AG","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS","SCIE","3,732","42.9","Q1","4.6","100"%,
"Nature Reviews Nephrology","NAT REV NEPHROL","NATURE PORTFOLIO","1759-5061","1759-507X","UROLOGY & NEPHROLOGY","SCIE","13,479","42.439","Q1","6.26","5.59"%,
"INTENSIVE CARE MEDICINE","INTENS CARE MED","SPRINGER","0342-4642","1432-1238","CRITICAL CARE MEDICINE","SCIE","35,676","41.787","Q1","2.95","22.04"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","32,252","41.444","Q1","4.77","99.77"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","ONCOLOGY","SCIE","32,252","41.444","Q1","4.77","99.77"%,
"NATURE GENETICS","NAT GENET","NATURE PORTFOLIO","1061-4036","1546-1718","GENETICS & HEREDITY","SCIE","120,884","41.376","Q1","8.77","9.98"%,
"Nature Catalysis","NAT CATAL","NATURE PORTFOLIO","2520-1158","2520-1158","CHEMISTRY, PHYSICAL","SCIE","15,757","40.706","Q1","4.76","1.89"%,
"Nature Nanotechnology","NAT NANOTECHNOL","NATURE PORTFOLIO","1748-3387","1748-3395","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","79,609","40.523","Q1","5.45","2.16"%,
"Nature Nanotechnology","NAT NANOTECHNOL","NATURE PORTFOLIO","1748-3387","1748-3395","NANOSCIENCE & NANOTECHNOLOGY","SCIE","79,609","40.523","Q1","5.45","2.16"%,
"CIRCULATION","CIRCULATION","LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","202,847","39.922","Q1","6.31","20.04"%,
"CIRCULATION","CIRCULATION","LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539","PERIPHERAL VASCULAR DISEASE","SCIE","202,847","39.922","Q1","6.31","20.04"%,
"Nature Photonics","NAT PHOTONICS","NATURE PORTFOLIO","1749-4885","1749-4893","OPTICS","SCIE","55,866","39.728","Q1","8.66","2.61"%,
"Nature Photonics","NAT PHOTONICS","NATURE PORTFOLIO","1749-4885","1749-4893","PHYSICS, APPLIED","SCIE","55,866","39.728","Q1","8.66","2.61"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY","SCIE","113,198","39.714","Q1","5.24","18.96"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENERGY & FUELS","SCIE","113,198","39.714","Q1","5.24","18.96"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENGINEERING, CHEMICAL","SCIE","113,198","39.714","Q1","5.24","18.96"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENVIRONMENTAL SCIENCES","SCIE","113,198","39.714","Q1","5.24","18.96"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","OXFORD UNIV PRESS INC","1195-1982","1708-8305","INFECTIOUS DISEASES","SCIE","6,380","39.194","Q1","1.9","18.87"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","OXFORD UNIV PRESS INC","1195-1982","1708-8305","MEDICINE, GENERAL & INTERNAL","SCIE","6,380","39.194","Q1","1.9","18.87"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","OXFORD UNIV PRESS INC","1195-1982","1708-8305","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,380","39.194","Q1","1.9","18.87"%,
"Lancet Global Health","LANCET GLOB HEALTH","ELSEVIER SCI LTD","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","22,156","38.927","Q1","8.34","95.59"%,
"Lancet Global Health","LANCET GLOB HEALTH","ELSEVIER SCI LTD","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","22,156","38.927","Q1","8.34","95.59"%,
"NATURE REVIEWS NEUROSCIENCE","NAT REV NEUROSCI","NATURE PORTFOLIO","1471-003X","1471-0048","NEUROSCIENCES","SCIE","54,312","38.755","Q1","4.29","2.04"%,
"JOURNAL OF INFECTION","J INFECTION","W B SAUNDERS CO LTD","0163-4453","1532-2742","INFECTIOUS DISEASES","SCIE","21,526","38.637","Q1","3.02","19.95"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","CELL BIOLOGY","SCIE","57,294","38.585","Q1","5.12","10.87"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","ONCOLOGY","SCIE","57,294","38.585","Q1","5.12","10.87"%,
"Cancer Discovery","CANCER DISCOV","AMER ASSOC CANCER RESEARCH","2159-8274","2159-8290","ONCOLOGY","SCIE","31,182","38.272","Q1","6.73","6.38"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","11,025","38.12","Q1","2.96","100"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","CELL BIOLOGY","SCIE","11,025","38.12","Q1","2.96","100"%,
"Cell Discovery","CELL DISCOV","SPRINGERNATURE","N/A","2056-5968","CELL BIOLOGY","SCIE","5,317","38.09","Q1","2.08","99.38"%,
"Lancet Child & Adolescent Health","LANCET CHILD ADOLESC","ELSEVIER SCI LTD","2352-4642","2352-4642","PEDIATRICS","SCIE","7,694","37.746","Q1","7.31","14.01"%,
"Journal of Public Transportation","J PUBLIC TRANSPORT","CENTER URBAN TRANSPORTATION RESEARCH","1077-291X","2375-0901","TRANSPORTATION","SSCI","1,056","37.667","Q1","1.71","83.33"%,
"Annual Review of Astronomy and Astrophysics","ANNU REV ASTRON ASTR","ANNUAL REVIEWS","0066-4146","1545-4282","ASTRONOMY & ASTROPHYSICS","SCIE","14,535","37.226","Q1","3.39","0"%,
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","SPRINGERNATURE","N/A","2662-138X","ENVIRONMENTAL SCIENCES","SCIE","1,942","37.214","Q1","3.66","0"%,
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","SPRINGERNATURE","N/A","2662-138X","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","1,942","37.214","Q1","3.66","0"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","ELSEVIER","N/A","2589-7500","MEDICAL INFORMATICS","SCIE","3,373","36.615","Q1","4.79","95.17"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","ELSEVIER","N/A","2589-7500","MEDICINE, GENERAL & INTERNAL","SCIE","3,373","36.615","Q1","4.79","95.17"%,
"MMWR Recommendations and Reports","MMWR RECOMM REP","CENTERS DISEASE CONTROL & PREVENTION","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,013","36.286","Q1","12.73","90"%,
"Nature Reviews Physics","NAT REV PHYS","NATURE PORTFOLIO","N/A","2522-5820","PHYSICS, APPLIED","SCIE","3,539","36.273","Q1","2.15","2.16"%,
"Nature Reviews Physics","NAT REV PHYS","NATURE PORTFOLIO","N/A","2522-5820","PHYSICS, MULTIDISCIPLINARY","SCIE","3,539","36.273","Q1","2.15","2.16"%,
"EUROPEAN HEART JOURNAL","EUR HEART J","OXFORD UNIV PRESS","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","88,237","35.855","Q1","6.82","32.54"%,
"ASTRONOMY AND ASTROPHYSICS REVIEW","ASTRON ASTROPHYS REV","SPRINGER","0935-4956","1432-0754","ASTRONOMY & ASTROPHYSICS","SCIE","2,562","35.786","Q1","3.19","47.83"%,
"Lancet Rheumatology","LANCET RHEUMATOL","ELSEVIER","2665-9913","2665-9913","RHEUMATOLOGY","SCIE","3,634","35.482","Q1","7.68","10"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENERGY & FUELS","SCIE","17,682","35.339","Q1","2.29","17"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENGINEERING, CHEMICAL","SCIE","17,682","35.339","Q1","2.29","17"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENGINEERING, MECHANICAL","SCIE","17,682","35.339","Q1","2.29","17"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","THERMODYNAMICS","SCIE","17,682","35.339","Q1","2.29","17"%,
"MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT","MMWR-MORBID MORTAL W","CENTERS DISEASE CONTROL & PREVENTION","0149-2195","1545-861X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","40,949","35.301","Q1","8","90.64"%,
"Military Medical Research","MILITARY MED RES","BMC","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL","SCIE","3,830","34.915","Q1","2.9","98.51"%,
"Nature Reviews Chemistry","NAT REV CHEM","NATURE PORTFOLIO","N/A","2397-3358","CHEMISTRY, MULTIDISCIPLINARY","SCIE","8,091","34.571","Q1","2.05","1.43"%,
"Gastroenterology","GASTROENTEROLOGY","W B SAUNDERS CO-ELSEVIER INC","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY","SCIE","104,728","33.883","Q1","4.96","20.77"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","26,129","33.84","Q1","8.42","15.36"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1553-877X","TELECOMMUNICATIONS","SCIE","26,129","33.84","Q1","8.42","15.36"%,
"EUROPEAN RESPIRATORY JOURNAL","EUR RESPIR J","EUROPEAN RESPIRATORY SOC JOURNALS LTD","0903-1936","1399-3003","RESPIRATORY SYSTEM","SCIE","64,514","33.801","Q1","3.61","24.8"%,
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","MAT SCI ENG R","ELSEVIER SCIENCE SA","0927-796X","1879-212X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","9,517","33.667","Q1","2.1","11.54"%,
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","MAT SCI ENG R","ELSEVIER SCIENCE SA","0927-796X","1879-212X","PHYSICS, APPLIED","SCIE","9,517","33.667","Q1","2.1","11.54"%,
"Nature Electronics","NAT ELECTRON","NATURE PORTFOLIO","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","8,248","33.255","Q1","5.82","2.23"%,
"JAMA Oncology","JAMA ONCOL","AMER MEDICAL ASSOC","2374-2437","2374-2445","ONCOLOGY","SCIE","27,215","33.012","Q1","5.2","15.14"%,
"Electrochemical Energy Reviews","ELECTROCHEM ENERGY R","SPRINGERNATURE","2520-8489","2520-8136","ELECTROCHEMISTRY","SCIE","2,407","32.804","Q1","2.04","18.07"%,
"Annual Review of Immunology","ANNU REV IMMUNOL","ANNUAL REVIEWS","0732-0582","1545-3278","IMMUNOLOGY","SCIE","22,258","32.481","Q1","2.78","1.2"%,
"Annual Review of Pathology-Mechanisms of Disease","ANNU REV PATHOL-MECH","ANNUAL REVIEWS","1553-4006","1553-4014","PATHOLOGY","SCIE","8,084","32.375","Q1","5.6","0"%,
"Nature Reviews Rheumatology","NAT REV RHEUMATOL","NATURE PORTFOLIO","1759-4790","1759-4804","RHEUMATOLOGY","SCIE","14,425","32.286","Q1","4.11","1.39"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY","SCIE","361,407","32.086","Q1","4.18","10.91"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","CHEMISTRY, PHYSICAL","SCIE","361,407","32.086","Q1","4.18","10.91"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","361,407","32.086","Q1","4.18","10.91"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","NANOSCIENCE & NANOTECHNOLOGY","SCIE","361,407","32.086","Q1","4.18","10.91"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","PHYSICS, APPLIED","SCIE","361,407","32.086","Q1","4.18","10.91"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","PHYSICS, CONDENSED MATTER","SCIE","361,407","32.086","Q1","4.18","10.91"%,
"GUT","GUT","BMJ PUBLISHING GROUP","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY","SCIE","67,454","31.795","Q1","5.87","45.15"%,
"Cell Metabolism","CELL METAB","CELL PRESS","1550-4131","1932-7420","CELL BIOLOGY","SCIE","61,068","31.373","Q1","5","10.71"%,
"Cell Metabolism","CELL METAB","CELL PRESS","1550-4131","1932-7420","ENDOCRINOLOGY & METABOLISM","SCIE","61,068","31.373","Q1","5","10.71"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","MICROBIOLOGY","SCIE","35,861","31.316","Q1","5.37","12.94"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","PARASITOLOGY","SCIE","35,861","31.316","Q1","5.37","12.94"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","VIROLOGY","SCIE","35,861","31.316","Q1","5.37","12.94"%,
