"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of Citable OA
"NATURE BIOTECHNOLOGY","NAT BIOTECHNOL","NATURE RESEARCH","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","78,787","54.908","Q1","10","6.17"%,
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","ROYAL SOC CHEMISTRY","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY","SCIE","173,170","54.564","Q1","3.07","15.41"%,
"REVIEWS OF MODERN PHYSICS","REV MOD PHYS","AMER PHYSICAL SOC","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY","SCIE","58,097","54.494","Q1","12.72","41.44"%,
"NATURE MEDICINE","NAT MED","NATURE RESEARCH","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","114,402","53.44","Q1","9.96","3.21"%,
"NATURE MEDICINE","NAT MED","NATURE RESEARCH","1078-8956","1546-170X","CELL BIOLOGY","SCIE","114,402","53.44","Q1","9.96","3.21"%,
"NATURE MEDICINE","NAT MED","NATURE RESEARCH","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","114,402","53.44","Q1","9.96","3.21"%,
"NATURE REVIEWS GENETICS","NAT REV GENET","NATURE RESEARCH","1471-0056","1471-0064","GENETICS & HEREDITY","SCIE","42,803","53.242","Q1","5.56","2.55"%,
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","NATURE RESEARCH","1474-1733","1474-1741","IMMUNOLOGY","SCIE","55,784","53.106","Q1","5.66","0.54"%,
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","NATURE RESEARCH","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","SCIE","14,221","52.329","Q1","16.63","4.1"%,
"NATURE","NATURE","NATURE RESEARCH","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","SCIE","915,939","49.962","Q1","8.7","3.33"%,
"World Psychiatry","WORLD PSYCHIATRY","WILEY","1723-8617","2051-5545","PSYCHIATRY","SCIE","9,619","49.548","Q1","8.93","1.56"%,
"World Psychiatry","WORLD PSYCHIATRY","WILEY","1723-8617","2051-5545","PSYCHIATRY","SSCI","9,619","49.548","Q1","8.93","1.56"%,
"SCIENCE","SCIENCE","AMER ASSOC ADVANCEMENT SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES","SCIE","814,978","47.728","Q1","7.63","4.71"%,
"Nature Reviews Gastroenterology & Hepatology","NAT REV GASTRO HEPAT","NATURE RESEARCH","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY","SCIE","15,358","46.802","Q1","5.93","3.9"%,
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","LIPPINCOTT WILLIAMS & WILKINS","0732-183X","1527-7755","ONCOLOGY","SCIE","189,444","44.544","Q1","5.25","15.9"%,
"LANCET NEUROLOGY","LANCET NEUROL","ELSEVIER SCIENCE INC","1474-4422","1474-4465","CLINICAL NEUROLOGY","SCIE","43,459","44.182","Q1","9.69","13.19"%,
"NATURE MATERIALS","NAT MATER","NATURE RESEARCH","1476-1122","1476-4660","CHEMISTRY, PHYSICAL","SCIE","112,429","43.841","Q1","7.1","0"%,
"NATURE MATERIALS","NAT MATER","NATURE RESEARCH","1476-1122","1476-4660","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","112,429","43.841","Q1","7.1","0"%,
"NATURE MATERIALS","NAT MATER","NATURE RESEARCH","1476-1122","1476-4660","PHYSICS, APPLIED","SCIE","112,429","43.841","Q1","7.1","0"%,
"NATURE MATERIALS","NAT MATER","NATURE RESEARCH","1476-1122","1476-4660","PHYSICS, CONDENSED MATTER","SCIE","112,429","43.841","Q1","7.1","0"%,
"Nature Reviews Endocrinology","NAT REV ENDOCRINOL","NATURE RESEARCH","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM","SCIE","15,040","43.33","Q1","4.88","5.48"%,
"Nature Reviews Neurology","NAT REV NEUROL","NATURE RESEARCH","1759-4758","1759-4766","CLINICAL NEUROLOGY","SCIE","15,738","42.937","Q1","5.85","3.45"%,
"Nature Catalysis","NAT CATAL","NATURE RESEARCH","2520-1158","2520-1158","CHEMISTRY, PHYSICAL","SCIE","9,725","41.813","Q1","4.71","0"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","320,410","41.584","Q1","7.09","15.7"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","CELL BIOLOGY","SCIE","320,410","41.584","Q1","7.09","15.7"%,
"LANCET ONCOLOGY","LANCET ONCOL","ELSEVIER SCIENCE INC","1470-2045","1474-5488","ONCOLOGY","SCIE","72,804","41.316","Q1","7.95","5.98"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","CHEMISTRY, PHYSICAL","SCIE","17,275","41.248","Q1","5.02","3.29"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","ENERGY & FUELS","SCIE","17,275","41.248","Q1","5.02","3.29"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","17,275","41.248","Q1","5.02","3.29"%,
"Living Reviews in Relativity","LIVING REV RELATIV","SPRINGER INTERNATIONAL PUBLISHING AG","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS","SCIE","3,407","40.429","Q1","3.49","100"%,
"BMJ-British Medical Journal","BMJ-BRIT MED J","BMJ PUBLISHING GROUP","1756-1833","1756-1833","MEDICINE, GENERAL & INTERNAL","SCIE","158,758","39.89","Q1","6.27","83.27"%,
"PROGRESS IN MATERIALS SCIENCE","PROG MATER SCI","PERGAMON-ELSEVIER SCIENCE LTD","0079-6425","1873-2208","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","21,332","39.58","Q1","2.15","9.68"%,
"Cancer Discovery","CANCER DISCOV","AMER ASSOC CANCER RESEARCH","2159-8274","2159-8290","ONCOLOGY","SCIE","27,030","39.397","Q1","6.48","1.74"%,
"Nature Nanotechnology","NAT NANOTECHNOL","NATURE RESEARCH","1748-3387","1748-3395","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","75,845","39.213","Q1","5.49","0.22"%,
"Nature Nanotechnology","NAT NANOTECHNOL","NATURE RESEARCH","1748-3387","1748-3395","NANOSCIENCE & NANOTECHNOLOGY","SCIE","75,845","39.213","Q1","5.49","0.22"%,
"Nature Photonics","NAT PHOTONICS","NATURE RESEARCH","1749-4885","1749-4893","OPTICS","SCIE","52,833","38.771","Q1","8.75","0"%,
"Nature Photonics","NAT PHOTONICS","NATURE RESEARCH","1749-4885","1749-4893","PHYSICS, APPLIED","SCIE","52,833","38.771","Q1","8.75","0"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY","SCIE","101,688","38.532","Q1","5.95","17.43"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENERGY & FUELS","SCIE","101,688","38.532","Q1","5.95","17.43"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENGINEERING, CHEMICAL","SCIE","101,688","38.532","Q1","5.95","17.43"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENVIRONMENTAL SCIENCES","SCIE","101,688","38.532","Q1","5.95","17.43"%,
"NATURE GENETICS","NAT GENET","NATURE RESEARCH","1061-4036","1546-1718","GENETICS & HEREDITY","SCIE","113,066","38.33","Q1","8.78","7.39"%,
"Psychological Science in the Public Interest","PSYCHOL SCI PUBL INT","SAGE PUBLICATIONS LTD","1529-1006","1539-6053","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","2,337","37.857","Q1","11.25","30"%,
"PHYSIOLOGICAL REVIEWS","PHYSIOL REV","AMER PHYSIOLOGICAL SOC","0031-9333","1522-1210","PHYSIOLOGY","SCIE","35,641","37.312","Q1","4.01","8.21"%,
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","MAT SCI ENG R","ELSEVIER SCIENCE SA","0927-796X","1879-212X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","8,652","36.214","Q1","2.02","7.41"%,
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","MAT SCI ENG R","ELSEVIER SCIENCE SA","0927-796X","1879-212X","PHYSICS, APPLIED","SCIE","8,652","36.214","Q1","2.02","7.41"%,
"NATURE REVIEWS NEUROSCIENCE","NAT REV NEUROSCI","NATURE RESEARCH","1471-003X","1471-0048","NEUROSCIENCES","SCIE","49,900","34.87","Q1","4.53","0.67"%,
"Nature Reviews Chemistry","NAT REV CHEM","NATURE RESEARCH","N/A","2397-3358","CHEMISTRY, MULTIDISCIPLINARY","SCIE","5,750","34.035","Q1","2.08","0"%,
"Nature Electronics","NAT ELECTRON","NATURE RESEARCH","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","4,455","33.686","Q1","6.92","0"%,
"ANNALS OF ONCOLOGY","ANN ONCOL","ELSEVIER","0923-7534","1569-8041","ONCOLOGY","SCIE","61,543","32.976","Q1","3.54","57.33"%,
"Nature Reviews Cardiology","NAT REV CARDIOL","NATURE RESEARCH","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","11,541","32.43","Q1","4.61","1.88"%,
"Lancet Diabetes & Endocrinology","LANCET DIABETES ENDO","ELSEVIER SCIENCE INC","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM","SCIE","14,025","32.069","Q1","6.3","7.58"%,
"JAMA Oncology","JAMA ONCOL","AMER MEDICAL ASSOC","2374-2437","2374-2445","ONCOLOGY","SCIE","22,381","31.777","Q1","5.65","10.39"%,
"IMMUNITY","IMMUNITY","CELL PRESS","1074-7613","1097-4180","IMMUNOLOGY","SCIE","70,518","31.745","Q1","5.56","12.71"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","CELL BIOLOGY","SCIE","50,839","31.743","Q1","5.31","10.51"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","ONCOLOGY","SCIE","50,839","31.743","Q1","5.31","10.51"%,
"Nature Reviews Physics","NAT REV PHYS","SPRINGERNATURE","N/A","2522-5820","PHYSICS, APPLIED","SCIE","1,697","31.068","Q1","2.33","1.12"%,
"Nature Reviews Physics","NAT REV PHYS","SPRINGERNATURE","N/A","2522-5820","PHYSICS, MULTIDISCIPLINARY","SCIE","1,697","31.068","Q1","2.33","1.12"%,
"Materials Today","MATER TODAY","ELSEVIER SCI LTD","1369-7021","1873-4103","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","20,082","31.041","Q1","3.77","22.3"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY","SCIE","320,972","30.849","Q1","4.48","9.73"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","CHEMISTRY, PHYSICAL","SCIE","320,972","30.849","Q1","4.48","9.73"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","320,972","30.849","Q1","4.48","9.73"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","NANOSCIENCE & NANOTECHNOLOGY","SCIE","320,972","30.849","Q1","4.48","9.73"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","PHYSICS, APPLIED","SCIE","320,972","30.849","Q1","4.48","9.73"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","PHYSICS, CONDENSED MATTER","SCIE","320,972","30.849","Q1","4.48","9.73"%,
"Lancet Respiratory Medicine","LANCET RESP MED","ELSEVIER SCI LTD","2213-2600","N/A","CRITICAL CARE MEDICINE","SCIE","22,278","30.7","Q1","6.48","10.36"%,
"Lancet Respiratory Medicine","LANCET RESP MED","ELSEVIER SCI LTD","2213-2600","N/A","RESPIRATORY SYSTEM","SCIE","22,278","30.7","Q1","6.48","10.36"%,
"Annual Review of Astronomy and Astrophysics","ANNU REV ASTRON ASTR","ANNUAL REVIEWS","0066-4146","1545-4282","ASTRONOMY & ASTROPHYSICS","SCIE","13,229","30.065","Q1","3.39","2.13"%,
"EUROPEAN HEART JOURNAL","EUR HEART J","OXFORD UNIV PRESS","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","81,451","29.983","Q1","5.77","28.2"%,
"CIRCULATION","CIRCULATION","LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","190,221","29.69","Q1","6.16","15.19"%,
"CIRCULATION","CIRCULATION","LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539","PERIPHERAL VASCULAR DISEASE","SCIE","190,221","29.69","Q1","6.16","15.19"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENERGY & FUELS","SCIE","14,154","29.394","Q1","2.35","14.43"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENGINEERING, CHEMICAL","SCIE","14,154","29.394","Q1","2.35","14.43"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENGINEERING, MECHANICAL","SCIE","14,154","29.394","Q1","2.35","14.43"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","THERMODYNAMICS","SCIE","14,154","29.394","Q1","2.35","14.43"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","CHEMISTRY, PHYSICAL","SCIE","93,801","29.368","Q1","4.27","8.76"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","ENERGY & FUELS","SCIE","93,801","29.368","Q1","4.27","8.76"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","93,801","29.368","Q1","4.27","8.76"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","PHYSICS, APPLIED","SCIE","93,801","29.368","Q1","4.27","8.76"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","PHYSICS, CONDENSED MATTER","SCIE","93,801","29.368","Q1","4.27","8.76"%,
"PROGRESS IN POLYMER SCIENCE","PROG POLYM SCI","PERGAMON-ELSEVIER SCIENCE LTD","0079-6700","1873-1619","POLYMER SCIENCE","SCIE","30,309","29.19","Q1","2.36","1.71"%,
"Electrochemical Energy Reviews","ELECTROCHEM ENERGY R","SPRINGERNATURE","2520-8489","2520-8136","ELECTROCHEMISTRY","SCIE","1,341","28.905","Q1","2.05","25"%,
"NATURE CELL BIOLOGY","NAT CELL BIOL","NATURE RESEARCH","1465-7392","1476-4679","CELL BIOLOGY","SCIE","52,554","28.824","Q1","3.85","0"%,
"NATURE METHODS","NAT METHODS","NATURE RESEARCH","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS","SCIE","90,805","28.547","Q1","7.31","2.05"%,
"Annual Review of Immunology","ANNU REV IMMUNOL","ANNUAL REVIEWS","0732-0582","1545-3278","IMMUNOLOGY","SCIE","20,292","28.527","Q1","2.94","1.18"%,
"Nature Reviews Nephrology","NAT REV NEPHROL","NATURE RESEARCH","1759-5061","1759-507X","UROLOGY & NEPHROLOGY","SCIE","10,033","28.314","Q1","5.33","4.23"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","24,931","27.401","Q1","3.91","99.8"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","ONCOLOGY","SCIE","24,931","27.401","Q1","3.91","99.8"%,
"Cell Metabolism","CELL METAB","CELL PRESS","1550-4131","1932-7420","CELL BIOLOGY","SCIE","52,194","27.287","Q1","4.62","9.5"%,
"Cell Metabolism","CELL METAB","CELL PRESS","1550-4131","1932-7420","ENDOCRINOLOGY & METABOLISM","SCIE","52,194","27.287","Q1","4.62","9.5"%,
"Lancet Global Health","LANCET GLOB HEALTH","ELSEVIER SCI LTD","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","16,663","26.763","Q1","6.5","93.79"%,
"Lancet Global Health","LANCET GLOB HEALTH","ELSEVIER SCI LTD","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","16,663","26.763","Q1","6.5","93.79"%,
"Lancet Psychiatry","LANCET PSYCHIAT","ELSEVIER SCI LTD","2215-0374","N/A","PSYCHIATRY","SSCI","14,839","26.481","Q1","5.03","25"%,
"Lancet Psychiatry","LANCET PSYCHIAT","ELSEVIER SCI LTD","2215-0374","N/A","PSYCHIATRY","SCIE","14,839","26.481","Q1","5.03","25"%,
"Annual Review of Plant Biology","ANNU REV PLANT BIOL","ANNUAL REVIEWS","1543-5008","1545-2123","PLANT SCIENCES","SCIE","24,641","26.379","Q1","2.82","1.15"%,
"CLINICAL MICROBIOLOGY REVIEWS","CLIN MICROBIOL REV","AMER SOC MICROBIOLOGY","0893-8512","1098-6618","MICROBIOLOGY","SCIE","25,627","26.132","Q1","2.54","2.97"%,
"Journal of Extracellular Vesicles","J EXTRACELL VESICLES","TAYLOR & FRANCIS LTD","N/A","2001-3078","CELL BIOLOGY","SCIE","8,485","25.841","Q1","2.9","98.65"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","NATURE RESEARCH","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","SCIE","6,476","25.671","Q1","5.42","0.8"%,
"CELL RESEARCH","CELL RES","SPRINGERNATURE","1001-0602","1748-7838","CELL BIOLOGY","SCIE","24,108","25.617","Q1","2.85","56.56"%,
"NATURE IMMUNOLOGY","NAT IMMUNOL","NATURE RESEARCH","1529-2908","1529-2916","IMMUNOLOGY","SCIE","54,588","25.606","Q1","4.92","0.25"%,
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","PHYS REP","ELSEVIER","0370-1573","1873-6270","PHYSICS, MULTIDISCIPLINARY","SCIE","32,130","25.6","Q1","2.97","17.69"%,
"PHARMACOLOGICAL REVIEWS","PHARMACOL REV","AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY","SCIE","14,445","25.468","Q1","3.12","43.84"%,
"InfoMat","INFOMAT","WILEY","N/A","2567-3165","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","1,460","25.405","Q1","2.53","100"%,
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","AMER COLL PHYSICIANS","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","SCIE","72,594","25.391","Q1","6.28","0"%,
"ADVANCES IN PHYSICS","ADV PHYS","TAYLOR & FRANCIS LTD","0001-8732","1460-6976","PHYSICS, CONDENSED MATTER","SCIE","6,300","25.375","Q1","0.88","0"%,
"ASTRONOMY AND ASTROPHYSICS REVIEW","ASTRON ASTROPHYS REV","SPRINGER","0935-4956","1432-0754","ASTRONOMY & ASTROPHYSICS","SCIE","2,048","25.357","Q1","2.62","38.1"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE RESEARCH","1758-678X","1758-6798","ENVIRONMENTAL SCIENCES","SCIE","36,321","25.29","Q1","5.06","0.23"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE RESEARCH","1758-678X","1758-6798","ENVIRONMENTAL STUDIES","SSCI","36,321","25.29","Q1","5.06","0.23"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE RESEARCH","1758-678X","1758-6798","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","36,321","25.29","Q1","5.06","0.23"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","22,146","25.249","Q1","7.6","7.23"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1553-877X","TELECOMMUNICATIONS","SCIE","22,146","25.249","Q1","7.6","7.23"%,
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","WILEY","1759-0876","1759-0884","CHEMISTRY, MULTIDISCIPLINARY","SCIE","7,883","25.113","Q1","3.21","12.59"%,
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","WILEY","1759-0876","1759-0884","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","7,883","25.113","Q1","3.21","12.59"%,
"JOURNAL OF HEPATOLOGY","J HEPATOL","ELSEVIER","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY","SCIE","52,239","25.083","Q1","4.06","14.97"%,
"LANCET INFECTIOUS DISEASES","LANCET INFECT DIS","ELSEVIER SCI LTD","1473-3099","1474-4457","INFECTIOUS DISEASES","SCIE","42,483","25.071","Q1","5.97","20.89"%,
"NATURE NEUROSCIENCE","NAT NEUROSCI","NATURE RESEARCH","1097-6256","1546-1726","NEUROSCIENCES","SCIE","73,710","24.884","Q1","5.68","1.89"%,
"Cell Stem Cell","CELL STEM CELL","CELL PRESS","1934-5909","1875-9777","CELL & TISSUE ENGINEERING","SCIE","32,147","24.633","Q1","4","14.45"%,
"Cell Stem Cell","CELL STEM CELL","CELL PRESS","1934-5909","1875-9777","CELL BIOLOGY","SCIE","32,147","24.633","Q1","4","14.45"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","ELSEVIER","N/A","2589-7500","MEDICAL INFORMATICS","SCIE","1,260","24.519","Q1","3.41","98.68"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","ELSEVIER","N/A","2589-7500","MEDICINE, GENERAL & INTERNAL","SCIE","1,260","24.519","Q1","3.41","98.68"%,
"Nature Chemistry","NAT CHEM","NATURE RESEARCH","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY","SCIE","41,139","24.427","Q1","4.3","0"%,
"Annual Review of Psychology","ANNU REV PSYCHOL","ANNUAL REVIEWS","0066-4308","1545-2085","PSYCHOLOGY","SCIE","28,065","24.137","Q1","3.62","0"%,
"Annual Review of Psychology","ANNU REV PSYCHOL","ANNUAL REVIEWS","0066-4308","1545-2085","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","28,065","24.137","Q1","3.62","0"%,
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","ELSEVIER SCIENCE INC","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","125,875","24.093","Q1","4.75","13.55"%,
