Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,CELL BIOLOGY,SCIE,"29,883",40.8,Q1,4.42,99.57%
Lancet Respiratory Medicine,LANCET RESP MED,ELSEVIER SCI LTD,2213-2600,N/A,CRITICAL CARE MEDICINE,SCIE,"24,199",38.7,Q1,11.51,19.70%
Lancet Respiratory Medicine,LANCET RESP MED,ELSEVIER SCI LTD,2213-2600,N/A,RESPIRATORY SYSTEM,SCIE,"24,199",38.7,Q1,11.51,19.70%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,"CHEMISTRY, PHYSICAL",SCIE,"38,089",38.6,Q1,4.41,20.09%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,ENERGY & FUELS,SCIE,"38,089",38.6,Q1,4.41,20.09%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"38,089",38.6,Q1,4.41,20.09%
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,ELSEVIER SCI LTD,1473-3099,1474-4457,INFECTIOUS DISEASES,SCIE,"41,061",36.4,Q1,8.47,25.83%
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,"27,843",34.4,Q1,9.38,20.43%
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,1553-877X,TELECOMMUNICATIONS,SCIE,"27,843",34.4,Q1,9.38,20.43%
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6425,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"29,846",33.6,Q1,2.39,15.67%
Innovation,INNOVATION-AMSTERDAM,CELL PRESS,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES,ESCI,"5,344",33.2,Q1,4.51,88.21%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,ENERGY & FUELS,SCIE,"17,086",32,Q1,2.33,33.33%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,"ENGINEERING, CHEMICAL",SCIE,"17,086",32,Q1,2.33,33.33%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,"ENGINEERING, MECHANICAL",SCIE,"17,086",32,Q1,2.33,33.33%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,THERMODYNAMICS,SCIE,"17,086",32,Q1,2.33,33.33%
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,ELSEVIER SCIENCE SA,0927-796X,1879-212X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"9,809",31.6,Q1,2.03,22.08%
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,ELSEVIER SCIENCE SA,0927-796X,1879-212X,"PHYSICS, APPLIED",SCIE,"9,809",31.6,Q1,2.03,22.08%
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,ELSEVIER INC,N/A,2468-1253,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"13,317",30.9,Q1,6.61,11.35%
Lancet Psychiatry,LANCET PSYCHIAT,ELSEVIER SCI LTD,2215-0374,N/A,PSYCHIATRY,"SCIE, SSCI","19,419",30.8,Q1,8.83,24.54%
Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,N/A,1756-8722,HEMATOLOGY,SCIE,"22,392",29.9,Q1,4.2,99.70%
Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,N/A,1756-8722,ONCOLOGY,SCIE,"22,392",29.9,Q1,4.2,99.70%
INTENSIVE CARE MEDICINE,INTENS CARE MED,SPRINGER,0342-4642,1432-1238,CRITICAL CARE MEDICINE,SCIE,"30,479",29.6,Q1,4.79,37.87%
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,SPRINGERNATURE,2520-8489,2520-8136,ELECTROCHEMISTRY,SCIE,"4,349",28.5,Q1,1.92,29.90%
CELL RESEARCH,CELL RES,SPRINGERNATURE,1001-0602,1748-7838,CELL BIOLOGY,SCIE,"27,776",28.2,Q1,3.63,63.69%
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,SPRINGER,0935-4956,1432-0754,ASTRONOMY & ASTROPHYSICS,SCIE,"2,942",27.8,Q1,3.58,68.18%
Cell Metabolism,CELL METAB,CELL PRESS,1550-4131,1932-7420,CELL BIOLOGY,SCIE,"58,146",27.7,Q1,5.43,27.09%
Cell Metabolism,CELL METAB,CELL PRESS,1550-4131,1932-7420,ENDOCRINOLOGY & METABOLISM,SCIE,"58,146",27.7,Q1,5.43,27.09%
Molecular Cancer,MOL CANCER,BMC,N/A,1476-4598,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"36,571",27.7,Q1,5.25,100%
Molecular Cancer,MOL CANCER,BMC,N/A,1476-4598,ONCOLOGY,SCIE,"36,571",27.7,Q1,5.25,100%
eLight,ELIGHT,SPRINGERNATURE,2097-1710,2662-8643,OPTICS,ESCI,"1,077",27.2,Q1,7.12,100%
JOURNAL OF HEPATOLOGY,J HEPATOL,ELSEVIER,0168-8278,1600-0641,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"62,890",26.8,Q1,5.97,35.23%
Gastroenterology,GASTROENTEROLOGY,W B SAUNDERS CO-ELSEVIER INC,0016-5085,1528-0012,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"90,130",26.3,Q1,5.71,32.42%
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6700,1873-1619,POLYMER SCIENCE,SCIE,"27,471",26,Q1,2.15,12.90%
Immunity,IMMUNITY,CELL PRESS,1074-7613,1097-4180,IMMUNOLOGY,SCIE,"72,460",25.5,Q1,4.87,29.40%
Lancet Public Health,LANCET PUBLIC HEALTH,ELSEVIER SCI LTD,2468-2667,2468-2667,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","10,784",25.4,Q1,9.3,77.60%
EUROPEAN UROLOGY,EUR UROL,ELSEVIER,0302-2838,1873-7560,UROLOGY & NEPHROLOGY,SCIE,"36,312",25.3,Q1,6.65,30.35%
FUNGAL DIVERSITY,FUNGAL DIVERS,SPRINGER,1560-2745,1878-9129,MYCOLOGY,SCIE,"6,411",24.5,Q1,6.04,30.51%
Lancet Planetary Health,LANCET PLANET HEALTH,ELSEVIER SCI LTD,N/A,2542-5196,ENVIRONMENTAL SCIENCES,SCIE,"8,333",24.2,Q1,4.6,76.26%
Lancet Planetary Health,LANCET PLANET HEALTH,ELSEVIER SCI LTD,N/A,2542-5196,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","8,333",24.2,Q1,4.6,76.26%
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,ELSEVIER,0370-1573,1873-6270,"PHYSICS, MULTIDISCIPLINARY",SCIE,"33,666",23.9,Q1,2.85,30.49%
Lancet Digital Health,LANCET DIGIT HEALTH,ELSEVIER,N/A,2589-7500,MEDICAL INFORMATICS,SCIE,"6,738",23.8,Q1,5.1,76.04%
Lancet Digital Health,LANCET DIGIT HEALTH,ELSEVIER,N/A,2589-7500,"MEDICINE, GENERAL & INTERNAL",SCIE,"6,738",23.8,Q1,5.1,76.04%
PROCEEDINGS OF THE IEEE,P IEEE,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0018-9219,1558-2256,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"40,846",23.2,Q1,4.46,32.16%
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,SPRINGERNATURE,2522-0128,2522-0136,"MATERIALS SCIENCE, COMPOSITES",SCIE,"11,329",23.2,Q1,3.21,4.01%
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,SPRINGERNATURE,2522-0128,2522-0136,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"11,329",23.2,Q1,3.21,4.01%
EnergyChem,ENERGYCHEM,ELSEVIER,2589-7780,2589-7780,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,"2,237",22.2,Q1,2.81,1.59%
EnergyChem,ENERGYCHEM,ELSEVIER,2589-7780,2589-7780,ENERGY & FUELS,ESCI,"2,237",22.2,Q1,2.81,1.59%
EnergyChem,ENERGYCHEM,ELSEVIER,2589-7780,2589-7780,"ENGINEERING, CHEMICAL",ESCI,"2,237",22.2,Q1,2.81,1.59%
EnergyChem,ENERGYCHEM,ELSEVIER,2589-7780,2589-7780,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,"2,237",22.2,Q1,2.81,1.59%
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,ELSEVIER SCIENCE INC,0735-1097,1558-3597,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"115,316",21.7,Q1,5.19,21.60%
Journal of Thoracic Oncology,J THORAC ONCOL,ELSEVIER SCIENCE INC,1556-0864,1556-1380,ONCOLOGY,SCIE,"25,823",21.1,Q1,4.29,42.98%
Journal of Thoracic Oncology,J THORAC ONCOL,ELSEVIER SCIENCE INC,1556-0864,1556-1380,RESPIRATORY SYSTEM,SCIE,"25,823",21.1,Q1,4.29,42.98%
Materials Today,MATER TODAY,ELSEVIER SCI LTD,1369-7021,1873-4103,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"27,900",21.1,Q1,3.4,13.86%
Lancet Microbe,LANCET MICROBE,ELSEVIER,N/A,2666-5247,INFECTIOUS DISEASES,SCIE,"4,533",20.9,Q1,4.47,71%
Lancet Microbe,LANCET MICROBE,ELSEVIER,N/A,2666-5247,MICROBIOLOGY,SCIE,"4,533",20.9,Q1,4.47,71%
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,IEEE COMPUTER SOC,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,"84,202",20.8,Q1,5.8,7.12%
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,IEEE COMPUTER SOC,0162-8828,1939-3539,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"84,202",20.8,Q1,5.8,7.12%
Cell Host & Microbe,CELL HOST MICROBE,CELL PRESS,1931-3128,1934-6069,MICROBIOLOGY,SCIE,"30,972",20.6,Q1,6.15,35.28%
Cell Host & Microbe,CELL HOST MICROBE,CELL PRESS,1931-3128,1934-6069,PARASITOLOGY,SCIE,"30,972",20.6,Q1,6.15,35.28%
Cell Host & Microbe,CELL HOST MICROBE,CELL PRESS,1931-3128,1934-6069,VIROLOGY,SCIE,"30,972",20.6,Q1,6.15,35.28%
Light-Science & Applications,LIGHT-SCI APPL,SPRINGERNATURE,2095-5545,2047-7538,OPTICS,SCIE,"22,600",20.6,Q1,5.22,100%
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,ELSEVIER,0926-3373,1873-3883,"CHEMISTRY, PHYSICAL",SCIE,"163,005",20.3,Q1,2.99,5.11%
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,ELSEVIER,0926-3373,1873-3883,"ENGINEERING, CHEMICAL",SCIE,"163,005",20.3,Q1,2.99,5.11%
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,ELSEVIER,0926-3373,1873-3883,"ENGINEERING, ENVIRONMENTAL",SCIE,"163,005",20.3,Q1,2.99,5.11%
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,ELSEVIER SCIENCE SA,0010-8545,1873-3840,"CHEMISTRY, INORGANIC & NUCLEAR",SCIE,"58,613",20.3,Q1,1.58,7.19%
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,ELSEVIER SCI LTD,0268-4012,1873-4707,INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,"20,326",20.1,Q1,5.72,22.19%
Lancet Global Health,LANCET GLOB HEALTH,ELSEVIER SCI LTD,2214-109X,2214-109X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","22,849",20,Q1,6.28,72.58%
Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,ELSEVIER SCI LTD,2352-4642,2352-4642,PEDIATRICS,SCIE,"7,477",19.9,Q1,10.04,17.65%
Cell Stem Cell,CELL STEM CELL,CELL PRESS,1934-5909,1875-9777,CELL & TISSUE ENGINEERING,SCIE,"30,708",19.8,Q1,4.36,33.43%
Cell Stem Cell,CELL STEM CELL,CELL PRESS,1934-5909,1875-9777,CELL BIOLOGY,SCIE,"30,708",19.8,Q1,4.36,33.43%
Kidney International Supplements,KIDNEY INT SUPPL,ELSEVIER SCIENCE INC,2157-1724,2157-1716,UROLOGY & NEPHROLOGY,SCIE,"3,051",19.3,Q1,4.14,0%
Chem,CHEM-US,CELL PRESS,2451-9294,2451-9294,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"25,423",19.1,Q1,2.88,16.58%
Energy Storage Materials,ENERGY STORAGE MATER,ELSEVIER,2405-8297,2405-8289,"CHEMISTRY, PHYSICAL",SCIE,"47,990",18.9,Q1,2.96,6.03%
Energy Storage Materials,ENERGY STORAGE MATER,ELSEVIER,2405-8297,2405-8289,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"47,990",18.9,Q1,2.96,6.03%
Energy Storage Materials,ENERGY STORAGE MATER,ELSEVIER,2405-8297,2405-8289,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"47,990",18.9,Q1,2.96,6.03%
Science Bulletin,SCI BULL,ELSEVIER,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES,SCIE,"18,163",18.8,Q1,3.36,19.43%
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,PERGAMON-ELSEVIER SCIENCE LTD,1350-9462,1873-1635,OPHTHALMOLOGY,SCIE,"12,031",18.7,Q1,4.46,31.55%
Matter,MATTER-US,CELL PRESS,2590-2393,2590-2385,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"14,255",18.4,Q1,2.54,11.81%
Nature Synthesis,NAT SYNTH,SPRINGERNATURE,N/A,2731-0582,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,"2,272",17.5,Q1,2.61,9.82%
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,CELL PRESS,1360-1385,1878-4372,PLANT SCIENCES,SCIE,"30,950",17.4,Q1,1.9,24.50%
Advanced Fiber Materials,ADV FIBER MATER,SPRINGERNATURE,2524-7921,2524-793X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"4,010",17.2,Q1,3.35,6.18%
Advanced Fiber Materials,ADV FIBER MATER,SPRINGERNATURE,2524-7921,2524-793X,"MATERIALS SCIENCE, TEXTILES",SCIE,"4,010",17.2,Q1,3.35,6.18%
IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1937-3333,1941-1189,"ENGINEERING, BIOMEDICAL",SCIE,"2,638",17.2,Q1,2.5,20.48%
Molecular Plant,MOL PLANT,CELL PRESS,1674-2052,1752-9867,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"23,955",17.1,Q1,4.87,34.25%
Molecular Plant,MOL PLANT,CELL PRESS,1674-2052,1752-9867,PLANT SCIENCES,SCIE,"23,955",17.1,Q1,4.87,34.25%
Nature Aging,NATURE AGING,SPRINGERNATURE,N/A,2662-8465,CELL BIOLOGY,SCIE,"3,207",17,Q1,3.41,30.15%
Nature Aging,NATURE AGING,SPRINGERNATURE,N/A,2662-8465,GERIATRICS & GERONTOLOGY,SCIE,"3,207",17,Q1,3.41,30.15%
Nature Aging,NATURE AGING,SPRINGERNATURE,N/A,2662-8465,NEUROSCIENCES,SCIE,"3,207",17,Q1,3.41,30.15%
Nature Reviews Psychology,NAT REV PSYCHOL,SPRINGERNATURE,N/A,2731-0574,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"1,031",16.8,Q1,4.09,0%
Nano Energy,NANO ENERGY,ELSEVIER,2211-2855,2211-3282,"CHEMISTRY, PHYSICAL",SCIE,"113,922",16.8,Q1,2.74,4.85%
Nano Energy,NANO ENERGY,ELSEVIER,2211-2855,2211-3282,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"113,922",16.8,Q1,2.74,4.85%
Nano Energy,NANO ENERGY,ELSEVIER,2211-2855,2211-3282,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"113,922",16.8,Q1,2.74,4.85%
Nano Energy,NANO ENERGY,ELSEVIER,2211-2855,2211-3282,"PHYSICS, APPLIED",SCIE,"113,922",16.8,Q1,2.74,4.85%
Military Medical Research,MILITARY MED RES,BMC,2095-7467,2054-9369,"MEDICINE, GENERAL & INTERNAL",SCIE,"4,376",16.7,Q1,2.76,100%
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,1364-6613,1879-307X,BEHAVIORAL SCIENCES,SCIE,"32,760",16.7,Q1,2.07,24.40%
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,1364-6613,1879-307X,NEUROSCIENCES,SCIE,"32,760",16.7,Q1,2.07,24.40%
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,1364-6613,1879-307X,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"32,760",16.7,Q1,2.07,24.40%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,ECOLOGY,SCIE,"39,058",16.7,Q1,1.99,33.60%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,EVOLUTIONARY BIOLOGY,SCIE,"39,058",16.7,Q1,1.99,33.60%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,GENETICS & HEREDITY,SCIE,"39,058",16.7,Q1,1.99,33.60%
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,PERGAMON-ELSEVIER SCIENCE LTD,1364-0321,1879-0690,ENERGY & FUELS,SCIE,"169,363",16.3,Q1,2.02,20.59%
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,PERGAMON-ELSEVIER SCIENCE LTD,1364-0321,1879-0690,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"169,363",16.3,Q1,2.02,20.59%
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2473-2397,2168-6831,GEOCHEMISTRY & GEOPHYSICS,SCIE,"4,021",16.2,Q1,2.72,0%
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2473-2397,2168-6831,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,SCIE,"4,021",16.2,Q1,2.72,0%
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2473-2397,2168-6831,REMOTE SENSING,SCIE,"4,021",16.2,Q1,2.72,0%
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,ELSEVIER,0001-8686,1873-3727,"CHEMISTRY, PHYSICAL",SCIE,"24,511",16,Q1,1.7,15.96%
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,CHURCHILL LIVINGSTONE,1368-7646,1532-2084,PHARMACOLOGY & PHARMACY,SCIE,"4,915",15.8,Q1,2.6,36.92%
PhotoniX,PHOTONIX,SPRINGERNATURE,N/A,2662-1991,OPTICS,SCIE,"1,317",15.7,Q1,3.74,100%
Chinese Journal of Catalysis,CHINESE J CATAL,ELSEVIER,0253-9837,1872-2067,"CHEMISTRY, APPLIED",SCIE,"17,295",15.7,Q1,2.52,1.34%
Chinese Journal of Catalysis,CHINESE J CATAL,ELSEVIER,0253-9837,1872-2067,"CHEMISTRY, PHYSICAL",SCIE,"17,295",15.7,Q1,2.52,1.34%
Chinese Journal of Catalysis,CHINESE J CATAL,ELSEVIER,0253-9837,1872-2067,"ENGINEERING, CHEMICAL",SCIE,"17,295",15.7,Q1,2.52,1.34%
Journal of Innovation & Knowledge,J INNOV KNOWL,ELSEVIER ESPANA,2530-7614,2444-569X,BUSINESS,SSCI,"4,262",15.6,Q1,3.96,96.47%
Journal of Innovation & Knowledge,J INNOV KNOWL,ELSEVIER ESPANA,2530-7614,2444-569X,MANAGEMENT,SSCI,"4,262",15.6,Q1,3.96,96.47%
Lancet Haematology,LANCET HAEMATOL,ELSEVIER SCI LTD,2352-3026,N/A,HEMATOLOGY,SCIE,"7,014",15.4,Q1,3.89,7.98%
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2329-9266,2329-9274,AUTOMATION & CONTROL SYSTEMS,SCIE,"8,846",15.3,Q1,2.33,0%
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,ELSEVIER,0169-409X,1872-8294,PHARMACOLOGY & PHARMACY,SCIE,"47,379",15.2,Q1,2.33,19.71%
Molecular Neurodegeneration,MOL NEURODEGENER,BMC,N/A,1750-1326,NEUROSCIENCES,SCIE,"9,806",15.1,Q1,3.13,100%
TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,ELSEVIER SCIENCE LONDON,0924-2244,1879-3053,FOOD SCIENCE & TECHNOLOGY,SCIE,"45,398",15.1,Q1,2.64,13.73%
eTransportation,ETRANSPORTATION,ELSEVIER,2590-1168,2590-1168,ENERGY & FUELS,SCIE,"3,077",15.1,Q1,2.29,15.03%
eTransportation,ETRANSPORTATION,ELSEVIER,2590-1168,2590-1168,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"3,077",15.1,Q1,2.29,15.03%
eTransportation,ETRANSPORTATION,ELSEVIER,2590-1168,2590-1168,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"3,077",15.1,Q1,2.29,15.03%
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES,SCIE,"5,892",15.1,Q1,1.93,55.07%
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,ENVIRONMENTAL STUDIES,SSCI,"5,892",15.1,Q1,1.93,55.07%
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"5,892",15.1,Q1,1.93,55.07%
Lancet Rheumatology,LANCET RHEUMATOL,ELSEVIER,2665-9913,2665-9913,RHEUMATOLOGY,SCIE,"3,211",15,Q1,4.58,21.91%
Environmental Chemistry Letters,ENVIRON CHEM LETT,SPRINGER HEIDELBERG,1610-3653,1610-3661,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"16,539",15,Q1,1.18,17.36%
Environmental Chemistry Letters,ENVIRON CHEM LETT,SPRINGER HEIDELBERG,1610-3653,1610-3661,"ENGINEERING, ENVIRONMENTAL",SCIE,"16,539",15,Q1,1.18,17.36%
Environmental Chemistry Letters,ENVIRON CHEM LETT,SPRINGER HEIDELBERG,1610-3653,1610-3661,ENVIRONMENTAL SCIENCES,SCIE,"16,539",15,Q1,1.18,17.36%
KIDNEY INTERNATIONAL,KIDNEY INT,ELSEVIER SCIENCE INC,0085-2538,1523-1755,UROLOGY & NEPHROLOGY,SCIE,"47,302",14.8,Q1,4.79,42.49%
Information Fusion,INFORM FUSION,ELSEVIER,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,"18,627",14.8,Q1,3.44,14.02%
Information Fusion,INFORM FUSION,ELSEVIER,1566-2535,1872-6305,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,"18,627",14.8,Q1,3.44,14.02%
Neuron,NEURON,CELL PRESS,0896-6273,1097-4199,NEUROSCIENCES,SCIE,"99,462",14.7,Q1,3.71,37.06%
TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,CELL PRESS,0166-2236,1878-108X,NEUROSCIENCES,SCIE,"21,076",14.6,Q1,2.05,31.31%
