Position,Institution,Country/territory,Count,Share
1909,Texas Biomedical Research Institute (Texas Biomed),United States of America (USA),14,3.380095672
1910,German Centre for Cardiovascular Research (DZHK),Germany,149,3.377224127
1911,Henan University of Chinese Medicine (HACTCM),China,16,3.372923907
1912,Amrita Vishwa Vidyapeetham (Amrita University),India,10,3.368727748
1913,University of Burgos (UBU),Spain,9,3.364667102
1914,Trent University,Canada,19,3.364310605
1915,Illinois State University,United States of America (USA),8,3.363619472
1916,Fujita Health University,Japan,30,3.36143033
1917,Technology Innovation Institute (TII),United Arab Emirates,14,3.359126984
1918,Children’s Mercy Kansas City,United States of America (USA),33,3.35905324
1919,China Ministry of Public Security (MPS),China,17,3.355357143
1920,São Paulo Research Foundation (FAPESP),Brazil,16,3.347222222
1921,Jinggangshan University (JGSU),China,13,3.347201178
1922,Saudi Aramco,Saudi Arabia,25,3.340149967
1923,"University of Science and Technology, Meghalaya (USTM)",India,5,3.333333333
1923,Immunocore,United Kingdom (UK),4,3.333333333
1924,Xinjiang Medical University (XJMU),China,26,3.329978031
1925,Central Institute of Mental Health (CIMH),Germany,42,3.322835569
1926,Sinochem Group,China,37,3.320673771
1927,Mendel University in Brno,Czech Republic,50,3.320059446
1928,Le Mans University,France,33,3.315725477
1929,National Health Laboratory Service (NHLS),South Africa,36,3.313024485
1930,Hospital Universitario Reina Sofía,Spain,34,3.311641604
1931,Centrale Méditerranée,France,50,3.30958596
1932,Autonomous University of San Luis Potosí (UASLP),Mexico,12,3.309534305
1933,Minzu University of China (MUC),China,19,3.307051762
1934,Insilico Medicine,United States of America (USA),6,3.306921085
1935,Polytechnic University of Bari,Italy,95,3.30657339
1936,Karlstad University (KAU),Sweden,15,3.303968254
1937,University of Talca (UTALCA),Chile,14,3.299886308
1938,Inova Health System,United States of America (USA),25,3.29810138
1939,University of Cordoba (UCO),Spain,31,3.297566307
1940,Cochin University of Science and Technology (CUSAT),India,8,3.295677423
1941,National Geographic Institute (IGN),Spain,16,3.292801031
1942,King Juan Carlos University (URJC),Spain,20,3.292604218
1943,Ramakrishna Mission Vivekananda Educational and Research Institute,India,8,3.287981859
1944,Visva-Bharati University,India,40,3.282568624
1945,University Hospitals Bristol and Weston NHS Foundation Trust (UHBW NHS),United Kingdom (UK),42,3.276855096
1946,San Francisco Department of Public Health (SFDPH),United States of America (USA),20,3.272404431
1947,Sophia University,Japan,13,3.271955614
1948,Russian Quantum Center (RQC),Russia,14,3.264646465
1949,École Supérieure de Chimie Physique Électronique de Lyon or (CPE Lyon),France,37,3.264059089
1950,University of Hull,United Kingdom (UK),44,3.260984306
1951,Dublin City University (DCU),Ireland,25,3.250851392
1952,Agilent,United States of America (USA),16,3.248679099
1953,North Minzu University (NMU),China,14,3.240295815
1954,University of Messina (UNIME),Italy,90,3.240112734
1955,Nanjing Hydraulic Research Institute (NHRI),China,25,3.235966811
1956,Hubei University of Arts and Science,China,29,3.235840218
1957,Royal Belgian Institute for Space Aeronomy (BIRA-IASB),Belgium,18,3.233110762
1958,National Polytechnic Institute (IPN),Mexico,44,3.231372398
1959,Florida Agricultural and Mechanical University (FAMU),United States of America (USA),22,3.230034455
1960,Villanova University,United States of America (USA),20,3.228176693
1961,Istanbul Aydin University (IAU),Turkey,5,3.225
1962,Shirley Ryan AbilityLab,United States of America (USA),17,3.224881768
1963,Beijing University of Civil Engineering and Architecture (BUCEA),China,14,3.217676768
1964,Tencent,China,20,3.215980487
1965,University of Science and Technology Liaoning (USTL),China,60,3.215681535
1966,Nordsjællands Hospital,Denmark,224,3.213559472
1967,COMSATS University Islamabad (CUI),Pakistan,66,3.211838681
1968,National Taiwan Ocean University (NTOU),Taiwan,7,3.211075036
1969,University of the Ryukyus,Japan,27,3.208442607
1970,Huawei,China,58,3.207574199
1971,Chung Shan Medical University (CSMU),Taiwan,17,3.204820526
1972,Hubei University of Education (HUE),China,7,3.2
1973,Foshan Xianhu Laboratory,China,33,3.196104253
1974,Humanitas University,Italy,65,3.194857706
1975,QuEra Computing Inc.,United States of America (USA),12,3.194820798
1976,San Jose State University (SJSU),United States of America (USA),44,3.193876623
1977,Shanghai University of Sport (SUS),China,15,3.190671134
1978,Gifu Pharmaceutical University (GPU),Japan,7,3.177569489
1979,Loma Linda University (LLU),United States of America (USA),20,3.176040917
1980,"Institut d'Enseignement Supérieur et de Recherche en Alimentation, Santé Animale, Sciences Agronomiques et de l'Environnement (VetAgro Sup)",France,47,3.160572544
1981,University of Szczecin (USZ),Poland,8,3.156349206
1982,Weifang University,China,16,3.154992638
1983,Durban University of Technology (DUT),South Africa,10,3.153980303
1984,East Carolina University (ECU),United States of America (USA),27,3.149843901
1985,Institute of Chemical Technology (ICT) Mumbai,India,11,3.138437951
1986,University of Hail (UOH),Saudi Arabia,10,3.133376591
1987,"Southern Illinois University, Carbondale (SIU)",United States of America (USA),19,3.13296907
1988,UC Health,United States of America (USA),17,3.132264697
1989,BBMG Corporation,China,20,3.124292837
1989,Beijing Energy Holding,China,20,3.124292837
1990,École des Ponts ParisTech (ENPC),France,59,3.123579454
1991,Metro North Hospital and Health Service,Australia,35,3.123496214
1992,Ente Ospedaliero Cantonale (EOC),Switzerland,29,3.117589141
1993,Education University of Hong Kong (EdUHK),China,70,3.116720027
1994,University of Jaén (UJU),Spain,13,3.116303321
1995,National Yunlin University of Science and Technology (YunTech),Taiwan,8,3.113842473
1996,Iwate University,Japan,14,3.111498653
1997,Alzheimer's Research UK,United Kingdom (UK),131,3.100051098
1998,Chengdu Medical College (CMC),China,16,3.100031219
1999,Lappeenranta University of Technology (LUT),Finland,107,3.098844038
2000,China Institute of Atomic Energy (CIAE),China,45,3.092511429
2001,JEOL,Japan,28,3.091495939
2002,Northeast Electric Power University (NEEPU),China,7,3.090909091
2003,King Faisal Specialist Hospital and Research Centre (KFSH&RC),Saudi Arabia,31,3.090720586
2004,Chosun University,South Korea,9,3.088846889
2005,Kuvempu University,India,4,3.083333333
2006,IFP Energies Nouvelles (IFPEN),France,7,3.081818182
2007,Institute of Applied Physics and Computational Mathematics (IAPCM),China,16,3.076656677
2008,Wuhan Polytechnic University (WHPU),China,14,3.071942464
2009,New Uzbekistan University,Uzbekistan,29,3.070039683
2010,Liaoning Petrochemical University (LNPU),China,14,3.067757937
2011,Metropolitan Autonomous University (UAM),Mexico,8,3.067050782
2012,Luxembourg Institute of Health (LIH),Luxembourg,18,3.066609449
2013,Bishop's University,Canada,7,3.064030903
2014,Comisión Sectorial de Investigación Científica (CSIC),Uruguay,36,3.050507673
2015,Tianjin Institute of Pharmaceutical Research (TIPR),China,35,3.049219748
2016,Alzheimer's Society,United Kingdom (UK),130,3.046479669
2017,Catholic University of America (CUA),United States of America (USA),105,3.03899273
2018,Galician Health Service (SERGAS),Spain,50,3.037189368
2019,Aberystwyth University,United Kingdom (UK),18,3.024374237
2020,University of the Punjab,Pakistan,63,3.014925604
2021,The Kids Research Institute Australia,Australia,30,3.011148249
2022,Sabanci University (SU),Turkey,8,3.004416839
2023,The Nemours Foundation,United States of America (USA),27,3.001732191
2024,Terasaki Institute for Biomedical Innovation (TIBI),United States of America (USA),11,3.000226274
2025,Razi University,Iran,3,3
2025,Thapar Institute of Engineering and Technology,India,4,3
2026,Cadi Ayyad University (UCA),Morocco,47,2.999230911
2027,University of Udine (UNIUD),Italy,89,2.991304081
2028,University of North Carolina at Wilmington (UNCW),United States of America (USA),13,2.986408381
2029,NERC National Centre for Atmospheric Science (NCAS),United Kingdom (UK),23,2.976123101
2030,Linnaeus University (LNU),Sweden,15,2.967885488
2031,Huaiyin Institute of Technology (HYIT),China,12,2.967857143
2032,Federal University of Paraná (UFPR),Brazil,21,2.963676725
2033,Bu-Ali Sina University,Iran,5,2.958333333
2034,Laurentian University,Canada,27,2.957213318
2035,National Institute for Theoretical and Computational Sciences (NITheCS),South Africa,16,2.95429601
2036,Royal Free London NHS Foundation Trust,United Kingdom (UK),60,2.952956584
2037,Toshiba,Japan,4,2.952380952
2038,Ashoka University,India,12,2.951445831
2039,Vancouver Coastal Health (VCH),Canada,52,2.949643874
2040,Henry M. Jackson Foundation for the Advancement of Military Medicine (HJF),United States of America (USA),26,2.949505763
2041,Region Hovedstadens Psykiatriske Hospital,Denmark,229,2.946132135
2042,Mila - Quebec Artificial Intelligence Institute,Canada,24,2.945595145
2043,EuginGroup,Spain,11,2.937396543
2044,Northwest Institute for Nonferrous Metal Research,China,9,2.934650072
2045,Federal University of Piauí (UFPI),Brazil,5,2.933333333
2046,Albany Medical Center,United States of America (USA),19,2.93233782
2047,Health Canada (HC-SC),Canada,14,2.931898786
2048,Northwest Women's and Children's Hospital,China,7,2.92492236
2049,Kantonsspital St. Gallen,Switzerland,29,2.921825976
2050,Benaroya Research Institute at Virginia Mason (BRI),United States of America (USA),20,2.920758204
2051,CeNTech,Germany,13,2.919255051
2052,Philips,Netherlands,14,2.916425739
2053,Federal University of Santa Maria (UFSM),Brazil,10,2.916215555
2054,Southwest Minzu University,China,15,2.915376984
2055,Kongju National University,South Korea,14,2.908735709
2056,Shriners Hospitals for Children,United States of America (USA),21,2.906666454
2057,China National Center for Biotechnology Development (CNCBD),China,134,2.90155085
2058,Kogakuin University,Japan,6,2.900673401
2059,NorthWest Research Associates (NWRA),United States of America (USA),32,2.900171153
2060,Mohammed V University,Morocco,58,2.899065985
2061,University of Colorado at Colorado Springs (UCCS),United States of America (USA),6,2.896743295
2062,Xinyue Health,China,8,2.895833333
2063,National Cancer Center (NCC),South Korea,31,2.886231028
2064,Western Sydney Local Health District (WSLHD),Australia,36,2.881361184
2065,Hitachi,Japan,14,2.877631002
2066,University of Greenwich,United Kingdom (UK),14,2.876874234
2067,Genomics England,United Kingdom (UK),15,2.876393688
2068,Texas Tech University Health Sciences Center (TTUHSC),United States of America (USA),19,2.875507767
2069,Planetary Science Institute (PSI),United States of America (USA),23,2.872244091
2070,University of Thessaly (UTH),Greece,58,2.868805224
2071,National School for Water and Environmental Engineering of Strasbourg (ENGEES),France,35,2.868676701
2072,Aga Khan University (AKU),Pakistan,34,2.867172095
2073,Saudi Arabia Ministry of National Guard Health Affairs (MNG-HA),Saudi Arabia,24,2.86620902
2074,My Duc Hospital,Vietnam,5,2.862924631
2075,Anqing Normal University,China,16,2.860207337
2076,Qatar University,Qatar,29,2.853868458
2077,Florey Institute of Neuroscience and Mental Health,Australia,54,2.851352862
2078,University of Magna Graecia (UMG),Italy,21,2.843412803
2079,University of Lincoln,United Kingdom (UK),12,2.843306803
2080,Holbaek Hospital,Denmark,223,2.838912294
2081,Foxconn,Taiwan,13,2.833519721
2082,Korea Institute of Machinery and Material (KIMM),South Korea,16,2.83334928
2083,Beijing Sport University,China,6,2.832972583
2084,Federal University of São Paulo (UNIFESP),Brazil,40,2.821770982
2085,Daiichi Sankyo,Japan,11,2.821345558
2086,Illumina,United States of America (USA),14,2.820854902
2087,National University of Mar Del Plata (UNMdP),Argentina,15,2.817660183
2088,Wellesley College,United States of America (USA),16,2.814753498
2089,Shanghai Dianji University (SHDJ),China,26,2.814648728
2090,Colgate University,United States of America (USA),10,2.813585434
2091,Shanghai Advanced Research in Physical Sciences (SHARPS),China,29,2.811433425
2092,University of Bucharest (UB),Romania,61,2.809363033
2093,Jiangxi University of Water Resources and Electric Power (JXUWP),China,10,2.805801143
2094,Wright State University,United States of America (USA),10,2.794816922
2095,Nottingham University Hospitals NHS Trust (NUH),United Kingdom (UK),51,2.79199558
2096,"University of Science, Technique and Technologies of Bamako (USTTB)",Mali,11,2.791215443
2097,Gansu Agricultural University,China,9,2.79050207
2098,Open University of Israel (OPENU),Israel,13,2.786183439
2099,Geoscience Australia,Australia,16,2.781497603
2100,Academy of Sciences of the Republic of Uzbekistan (UzAS),Uzbekistan,87,2.779044308
2101,Nanjing Innovation Institute for Atmospheric Sciences,China,13,2.77521645
2102,Quanzhou Normal University,China,13,2.775132275
2103,Adolfo Ibáñez University (UAI),Chile,19,2.77505518
2104,Silesian University of Technology (SUT),Poland,17,2.767161689
2105,CHU Clermont-Ferrand,France,34,2.763106712
2106,Purple Mountain Laboratories,China,20,2.762481962
2107,Electronics and Telecommunications Research Institute (ETRI),South Korea,13,2.761729937
2108,Saga University,Japan,30,2.75973694
2109,Embry-Riddle Aeronautical University (ERAU),United States of America (USA),35,2.759034354
2110,Catholic University of the North (UCN),Chile,22,2.753498818
2111,The Cyprus Institute (CyI),Cyprus,21,2.752554
2112,Eisai,Japan,15,2.750403103
2113,Nykøbing Falster Sygehus,Denmark,223,2.749987157
2114,Kyoto Sangyo University,Japan,15,2.748220954
2115,University of North Dakota (UND),United States of America (USA),31,2.7466103
2116,Shangqiu Normal University (SQNU),China,11,2.741341991
2117,National Centre for Scientific Research 'Demokritos' (NCSR),Greece,113,2.736377433
2118,Hubei University of Chinese Medicine,China,22,2.736328988
2119,Neuroscience Research Australia (NeuRA),Australia,26,2.73571677
2120,Post Graduate Institute of Medical Education and Research (PGIMER),India,14,2.735715595
2121,Los Angeles County Health Agency,United States of America (USA),57,2.733276933
2122,Hyundai,South Korea,12,2.730577756
2123,Italian Foundation for Cancer Research (FIRC),Italy,17,2.730503282
2124,Slagelse Hospital,Denmark,222,2.729649712
2125,Centre of Biomedical Research (CBMR),India,8,2.727777778
2126,The Royal Women's Hospital,Australia,19,2.71955044
2127,Indian Council of Medical Research (ICMR),India,19,2.716768947
2128,Tibet University,China,24,2.715958651
2129,National Institutes of Applied Research (NIAR),Taiwan,16,2.712657386
2130,Presidency University,India,7,2.710714286
2131,CSPC Pharmaceutical Group,China,20,2.710102506
2132,Akita University,Japan,9,2.709649123
2133,University of Miyazaki,Japan,25,2.707566503
2134,Sichuan Cancer Hospital,China,26,2.706737257
2135,Euro-Mediterranean Center on Climate Change (CMCC),Italy,14,2.706638396
2136,Chi Mei Medical Center,Taiwan,9,2.698828242
2137,Military University of Technology,Poland,10,2.696563853
2138,Children's Health,United States of America (USA),23,2.695453792
2139,Autonomous University of Zacatecas (UAZ),Mexico,4,2.694444444
2140,Ontario Agency for Health Protection and Promotion (OAHPP),Canada,14,2.69156265
2141,Intermountain Healthcare,United States of America (USA),50,2.688521401
2142,Xuchang University,China,12,2.688492063
2143,Horia Hulubei National Institute of Physics and Nuclear Engineering (IFIN HH),Romania,145,2.685867231
2144,Montclair State University,United States of America (USA),10,2.682174219
2145,Hunan Cancer Hospital,China,42,2.676324822
2146,Glostrup University Hospital,Denmark,223,2.672416112
2147,Northeast Petroleum University,China,10,2.668849206
2148,Creighton University,United States of America (USA),42,2.668344312
2149,Guru Nanak Dev University (GNDU),India,5,2.666666667
2150,The German Center for Lung Research (DZL),Germany,71,2.664622379
2151,Jiujiang University,China,10,2.663170163
2152,Metro South Health,Australia,39,2.66298003
2153,Huanggang Normal University (HGNU),China,12,2.658292282
2154,CHU Nice,France,219,2.656431871
2155,Extreme Light Infrastructure ERIC (ELI ERIC),Czech Republic,14,2.650172503
2156,Zhejiang University City College (ZUCC),China,13,2.649450631
2157,Princess Nourah bint Abdulrahman University (PNU),Saudi Arabia,21,2.647140707
2158,Luye Pharma Group Ltd.,China,21,2.644150983
2159,"National Institute of Technology, Durgapur (NITDGP)",India,13,2.64171589
2160,Gazi University,Turkey,52,2.640177698
2161,University of South Brittany (UBS),France,52,2.637698936
2162,University of Veterinary Medicine Hannover (TiHo),Germany,51,2.629483863
2163,WEL Research Institute,Belgium,44,2.629136903
2164,Tehran University of Medical Sciences (TUMS),Iran,29,2.627253511
2165,Nara Medical University,Japan,15,2.625626249
2166,Lakehead University,Canada,24,2.62041538
2167,Kazan Federal University (KFU),Russia,14,2.620094628
2168,Etablissement Français du Sang (EFS),France,67,2.617880522
2169,National Energy Technology Laboratory (NETL),United States of America (USA),7,2.617857143
2170,NHS England,United Kingdom (UK),13,2.613555519
2171,Department of Aerospace Science and Technology (DCTA),Brazil,11,2.612209054
2172,Oita University,Japan,18,2.607539175
2173,The Christie NHS Foundation Trust,United Kingdom (UK),104,2.605656849
2174,Centre Hospitalier Régional Universitaire de TOURS (CHRU de Tours),France,54,2.605468697
2175,American University of the Middle East (AUM),Kuwait,56,2.602464315
2176,NVIDIA,United States of America (USA),14,2.599663551
2177,Hudson Institute of Medical Research,Australia,15,2.597981278
2178,National Institute of Materials Physics (NIMP),Romania,6,2.597402597
2179,Kingfa,China,8,2.595238095
2180,Sheffield Teaching Hospitals NHS Foundation Trust,United Kingdom (UK),45,2.595097625
2181,Bruno Kessler Foundation (FBK),Italy,80,2.593864199
2182,CHRU de Besançon,France,51,2.590983579
2183,Xinjiang Agricultural University (XJAU),China,18,2.590666893
2184,Rwanda Ministry of Health,Rwanda,9,2.589761502
2185,Altos Labs,United States of America (USA),22,2.587933761
2186,Diego Portales University (UDP),Chile,26,2.587194907
2187,Ochanomizu University,Japan,60,2.586837073
2188,Centrale Lille,France,42,2.585512474
2189,Space Science Institute (SSI),United States of America (USA),30,2.585226358
2190,Dijon University Hospital,France,61,2.583988741
2191,University of San Francisco (USF),United States of America (USA),20,2.582493879
2192,China General Technology Group,China,22,2.5813721
2193,Kansai University,Japan,8,2.581269841
2194,Dong-A University,South Korea,14,2.580048985
2195,Tomas Bata University in Zlín (TBU),Czech Republic,5,2.579100529
2196,Yangtze Normal University (YZNU),China,9,2.578943279
2197,Cairo University (CU),Egypt,33,2.57799952
2198,Shiga University of Medical Science (SUMS),Japan,16,2.577815323
2199,Montpellier SupAgro,France,62,2.57707737
2200,Huanghuai University,China,9,2.576388889
2201,Pharmaron,China,7,2.57296467
2202,Wilfrid Laurier University (WLU),Canada,10,2.569184982
2203,University of Colorado Health (UCHealth),United States of America (USA),33,2.568709268
2204,Toyota Technological Institute (TTI),Japan,6,2.563492063
2205,Battelle Memorial Institute,United States of America (USA),9,2.55975136
2206,Centre Hospitalier Régional Universitaire de Nancy (CHRU Nancy),France,66,2.558323644
2207,Ionis Pharmaceuticals,United States of America (USA),16,2.558091315
2208,National Academy of Sciences of the Republic of Armenia (NAS),Armenia,13,2.556442377
2209,Amager Hospital,Denmark,221,2.554016461
2209,Bornholms Hospital,Denmark,221,2.554016461
2209,Ringsted Sygehus,Denmark,221,2.554016461
2210,Korea Electronics Technology Institute (KETI),South Korea,18,2.553508297
2211,Hubei University for Nationalities (HUN),China,12,2.551659452
2212,Chung Yuan Christian University (CYCU),Taiwan,14,2.544075257
2213,Public University of Navarre (UPNA),Spain,36,2.543658851
2214,Kyorin University,Japan,19,2.542909605
2215,Universidad Arturo Prat (UNAP),Chile,11,2.540710678
2216,Ligue Contre Le Cancer,France,26,2.538057948
2217,Nanchang Medical College,China,20,2.53690571
2218,State University of New York College of Environmental Science and Forestry (SUNY-ESF),United States of America (USA),22,2.536065877
2219,Indian Institute of Technology Tirupati (IIT Tirupati),India,4,2.535714286
2220,Jilin Institute of Chemical Technology,China,7,2.530357143
2221,UCB,Belgium,12,2.525378869
2222,Monterey Bay Aquarium Research Institute (MBARI),United States of America (USA),9,2.523455598
2223,European Magnetic Field Laboratory (EMFL),Germany,28,2.520917669
2224,Institute of Physics (IP),Croatia,11,2.520310245
2225,NERC National Centre for Earth Observation (NCEO),United Kingdom (UK),31,2.518778742
2226,Royal Observatory of Belgium (ROB),Belgium,18,2.512677235
2227,University Hospitals of Leicester NHS Trust (UHL),United Kingdom (UK),54,2.511573442
2228,Geological Survey of Denmark and Greenland (GEUS),Denmark,19,2.50512535
2229,University of Technology of Belfort-Montbéliard (UTBM),France,61,2.499699121
2230,Technical University of Cartagena (UPCT),Spain,11,2.497640034
2231,Amazon,United States of America (USA),17,2.495350592
2232,Quandela,France,6,2.493822844
2233,Center for Physical Sciences and Technology (FTMC),Lithuania,6,2.493650794
2234,Japanese Foundation for Cancer Research (JFCR),Japan,31,2.491794123
2235,Kennedy Krieger Institute,United States of America (USA),18,2.490388323
2236,Shell,United Kingdom (UK),8,2.489786967
2237,Silpakorn University,Thailand,10,2.488881108
2238,Siemens,Germany,24,2.486356873
2239,Peter the Great St. Petersburg Polytechnic University (SPbPU),Russia,8,2.482771123
2240,Chiba Institute of Technology,Japan,9,2.480489418
2241,University Hospital of Verona,Italy,19,2.478016648
2242,Slovak University of Technology in Bratislava (STU),Slovakia,9,2.475702076
2243,Université du Québec à Rimouski (UQAR),Canada,31,2.470434623
2244,Health New Zealand Auckland,New Zealand,42,2.470363585
2245,Laureate Institute for Brain Research (LIBR),United States of America (USA),8,2.46741453
2246,Isfahan University of Technology (IUT),Iran,53,2.467316559
2247,"Carbon Mapper, Inc.",United States of America (USA),6,2.466544567
2248,Government of Western Australia,Australia,20,2.464702214
2249,Suntory Foundation for Life Science (SUNBOR),Japan,5,2.461904762
2250,Bergen Hospital Trust,Norway,53,2.460637914
2251,National Centre for Polar and Ocean Research (NCPOR),India,7,2.46031746
2252,Brunel University London,United Kingdom (UK),70,2.460110007
2253,Nazarbayev University (NU),Kazakhstan,16,2.456940288
2254,Synfuels China,China,13,2.456865819
2255,CHN Energy,China,12,2.454628705
2256,Norway Ministry of Education and Research,Norway,16,2.454046036
2257,Federal University of Alagoas (UFAL),Brazil,7,2.451388889
2258,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,44,2.451150491
2259,Uganda Virus Research Institute (UVRI),Uganda,25,2.450650017
2260,National University of Cuyo (UNCUYO),Argentina,28,2.444595329
2261,Heidelberg Institute for Theoretical Studies (HITS),Germany,30,2.443845617
2262,St George's University Hospitals NHS Foundation Trust,United Kingdom (UK),28,2.443671891
2263,GLA University,India,9,2.436287478
2264,"California State University, Long Beach (CSULB)",United States of America (USA),24,2.434794007
2265,"National Institutes of Biomedical Innovation, Health and Nutrition (NIBIOHN)",Japan,19,2.434173561
2266,Nanjing Institute of Technology (NJIT),China,15,2.433308358
2267,Heze University,China,6,2.431547619
2268,Science and Technology Corporation (STC),United States of America (USA),6,2.429166667
2269,University of the West Indies (UWI),International,20,2.428513156
2270,non-affiliated author contributions,France,12,2.424459996
2271,University of Pécs (PTE),Hungary,17,2.422824423
2272,Hubei Longzhong Laboratory,China,38,2.421627678
2273,Allchemy,United States of America (USA),5,2.418686869
2274,RWJ Barnabas Health,United States of America (USA),10,2.417625838
2275,Oxford Brookes University,United Kingdom (UK),10,2.416905317
2276,Hankuk University of Foreign Studies (HUFS),South Korea,6,2.416666667
2277,Geological Survey of Norway (NGU),Norway,15,2.416601827
2278,Hoshi University,Japan,6,2.412121212
2279,Liverpool John Moores University (LJMU),United Kingdom (UK),42,2.409458153
2280,Guangdong Polytechnic Normal University (GPNU),China,14,2.409233785
2281,Erzurum Technical University (ETU),Turkey,7,2.407154249
2282,Rapid Novor,Canada,4,2.406015038
2283,University of Malaya (UM),Malaysia,88,2.403185634
2284,Urgench State University,Uzbekistan,23,2.40297619
2285,MIIT Fifth Electronics Research Institute (China CEPREI Laboratory),China,8,2.399000999
2286,Kanagawa University,Japan,16,2.398231868
2287,Anyang Institute of Technology,China,10,2.39726614
2288,Beijing Life Science Academy,China,25,2.394574256
2289,Jaeb Center for Health Research (JCHR),United States of America (USA),10,2.394442748
2290,BOE,China,27,2.389764069
2291,University of Leoben,Austria,12,2.386200874
2292,Eurofins Scientific,Luxembourg,11,2.385696526
2293,The University of Tulsa,United States of America (USA),9,2.38482906
2294,University of Louisiana at Lafayette (UL Lafayette),United States of America (USA),22,2.380963172
2295,South African Medical Research Council (SAMRC),South Africa,40,2.371383704
2296,Berkeley Geochronology Center (BGC),United States of America (USA),7,2.371323529
2297,Rennes University Hospital (CHU Rennes),France,51,2.369043779
2298,Meijo University,Japan,7,2.368964369
2299,Norway Ministry of Climate and Environment,Norway,17,2.366938445
2300,Mackenzie Presbyterian University (UPM),Brazil,7,2.364140409
2301,Tomsk State University of Control Systems and Radioelectronics (TUSUR),Russia,8,2.363888889
2302,Yichun University,China,7,2.359865573
2303,Kocaeli University,Turkey,12,2.358889774
2304,National Healthcare Group (NHG),Singapore,20,2.358116759
2305,Buck Institute for Research on Aging,United States of America (USA),14,2.353839549
2306,Poznan University of Medical Sciences (PUMS),Poland,14,2.353211837
2307,Mexico Secretariat of Health,Mexico,23,2.352843172
2308,Indian Institute of Technology Palakkad (IIT PKD),India,8,2.352380952
2309,National Dong Hwa University (NDHU),Taiwan,9,2.342774023
2310,University of Guilan (GU),Iran,10,2.342392883
2311,Walailak University,Thailand,16,2.341785635
2312,Canon Inc.,Japan,5,2.341666667
2313,Biomedical Sciences Research Centre Alexander Fleming (BSRC Fleming),Greece,10,2.341282694
2314,Wuzhen Laboratory,China,18,2.339931583
2315,Federal University of Campina Grande (UFCG),Brazil,14,2.339807376
2316,Western Digital,United States of America (USA),5,2.335714286
2317,Fordham University (Fordham),United States of America (USA),6,2.333667502
2318,University of Kashan,Iran,3,2.333333333
2319,Quirónsalud,Spain,28,2.330078553
2320,Rosario National University (UNR),Argentina,15,2.327810967
2321,University of Stirling,United Kingdom (UK),18,2.326652527
2322,U.S. Department of Energy (DOE),United States of America (USA),34,2.324746532
2323,Comprehensive Research Organization for Science and Society (CROSS),Japan,24,2.32343202
2324,New York City Department of Health and Mental Hygiene (DOHMH),United States of America (USA),4,2.321174749
2325,Agricultural Research Centre for International Development (CIRAD),France,55,2.317089596
2326,Fukushima Medical University (FMU),Japan,18,2.314458996
2327,Xinxiang University (XXU),China,6,2.314430014
2328,National Solar Observatory (NSO),United States of America (USA),9,2.31140873
2329,University of Malta,Malta,25,2.299562113
2330,"Hunan Changling Petrochemical Technology Development Co., Ltd.",China,11,2.297261766
2331,Anhui Science and Technology University (ASTU),China,9,2.296296296
2332,Shanghai Institute for Biomedical and Pharmaceutical Technologies (SIBPT),China,10,2.296082536
2333,Chan Zuckerberg Initiative,United States of America (USA),39,2.293012209
2334,WuXi AppTec,China,8,2.292406015
2335,POWERCHINA,China,18,2.292136547
2336,National Institute of Technology Warangal (NITW),India,4,2.291666667
2337,Western University of Health Sciences (WesternU),United States of America (USA),9,2.290215177
2338,Quadram Institute Bioscience,United Kingdom (UK),21,2.289928999
2339,Fu Jen Catholic University (FJU),Taiwan,14,2.289436706
2340,University of the French West Indies (UAG),France,58,2.286435203
2341,University of Nairobi,Kenya,22,2.282270006
2342,Murdoch University,Australia,35,2.278979153
2343,Sutter Health,United States of America (USA),18,2.27751353
2344,University of Yaounde I (UYI),Cameroon,24,2.276340569
2345,University of Maragheh,Iran,8,2.270238095
2346,Henan Institute of Science and Technology (HIST),China,7,2.269101732
2347,Huainan Normal University,China,12,2.266780904
2348,Swedish Health Services,United States of America (USA),25,2.26652908
2349,Superior National School of Advanced Techniques (ENSTA ParisTech),France,63,2.265120996
2350,A.O.U. Citta della Salute e della Scienza di Torino,Italy,42,2.26286494
2351,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,29,2.261907559
2352,Jiangxi Agricultural University (JXAU),China,11,2.261879787
2353,AdventHealth,United States of America (USA),20,2.259071252
2354,University of New England (UNE),Australia,16,2.253132883
2355,Federal University of Juiz de Fora (UFJF),Brazil,62,2.251936035
2356,Al-Farabi Kazakh National University (KazNU),Kazakhstan,20,2.250998136
2357,ByteDance,China,3,2.25
2357,Saratov State University (SGU),Russia,3,2.25
2357,Higher Polytechnic School of Chimborazo (ESPOCH),Ecuador,3,2.25
2357,Azarbaijan Shahid Madani University,Iran,3,2.25
2358,J. Craig Venter Institute (JCVI),United States of America (USA),17,2.24529955
2359,Universidad Mayor,Chile,17,2.243185565
2360,Shahid Beheshti University of Medical Sciences (SBMU),Iran,15,2.241344772
2361,University of North Bengal (NBU),India,10,2.241108209
2362,"Ontario Ministry of the Environment, Conservation and Parks",Canada,11,2.235714286
2363,Korea Military Academy,South Korea,10,2.235660173
2364,Ivane Javakhishvili Tbilisi State University (TSU),Georgia,74,2.231832194
