Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of Citable OA
Journal of Logical and Algebraic Methods in Programming,J LOG ALGEBR METHODS,ELSEVIER SCIENCE INC,2352-2208,2352-2216,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,351,0.9,Q4,0.94,28.67%
Journal of Logical and Algebraic Methods in Programming,J LOG ALGEBR METHODS,ELSEVIER SCIENCE INC,2352-2208,2352-2216,LOGIC,SCIE,351,0.9,Q1,0.94,28.67%
Communications in Mathematics and Statistics,COMMUN MATH STAT,SPRINGER HEIDELBERG,2194-6701,2194-671X,MATHEMATICS,SCIE,534,0.9,Q2,0.92,4.10%
JOURNAL OF APPROXIMATION THEORY,J APPROX THEORY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0021-9045,1096-0430,MATHEMATICS,SCIE,"2,342",0.9,Q2,0.86,11.33%
JOURNAL OF ALGEBRA,J ALGEBRA,ACADEMIC PRESS INC ELSEVIER SCIENCE,0021-8693,1090-266X,MATHEMATICS,SCIE,"11,666",0.9,Q2,0.79,14.99%
MONATSHEFTE FUR MATHEMATIK,MONATSH MATH,SPRINGER WIEN,0026-9255,1436-5081,MATHEMATICS,SCIE,"1,856",0.9,Q2,0.76,21.12%
Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences,STUD HIST PHI PART C,ELSEVIER,1369-8486,1879-2499,HISTORY & PHILOSOPHY OF SCIENCE,SCIE,"1,029",0.9,Q2,0.72,30.77%
Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences,STUD HIST PHI PART C,ELSEVIER,1369-8486,1879-2499,HISTORY & PHILOSOPHY OF SCIENCE,SSCI,"1,029",0.9,Q2,0.72,30.77%
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,SPRINGER,0236-5294,1588-2632,MATHEMATICS,SCIE,"1,884",0.9,Q2,0.71,0%
Foundations of Chemistry,FOUND CHEM,SPRINGER,1386-4238,1572-8463,HISTORY & PHILOSOPHY OF SCIENCE,SCIE,250,0.9,Q2,0.69,30.23%
Foundations of Science,FOUND SCI,SPRINGER,1233-1821,1572-8471,HISTORY & PHILOSOPHY OF SCIENCE,SCIE,618,0.9,Q2,0.67,35.86%
Journal of Statistical Planning and Inference,J STAT PLAN INFER,ELSEVIER,0378-3758,1873-1171,STATISTICS & PROBABILITY,SCIE,"4,962",0.9,Q4,0.55,18.58%
HNO,HNO,SPRINGER,0017-6192,1433-0458,OTORHINOLARYNGOLOGY,SCIE,"1,403",0.9,Q4,0.48,35.56%
JOURNAL OF ETHOLOGY,J ETHOL,SPRINGER JAPAN KK,0289-0771,1439-5444,BEHAVIORAL SCIENCES,SCIE,948,0.9,Q4,0.47,22.31%
JOURNAL OF ETHOLOGY,J ETHOL,SPRINGER JAPAN KK,0289-0771,1439-5444,ZOOLOGY,SCIE,948,0.9,Q3,0.47,22.31%
METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,METHODOL COMPUT APPL,SPRINGER,1387-5841,1573-7713,STATISTICS & PROBABILITY,SCIE,890,0.9,Q4,0.45,14.08%
JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS,JPN J IND APPL MATH,SPRINGER JAPAN KK,0916-7005,1868-937X,"MATHEMATICS, APPLIED",SCIE,525,0.9,Q3,0.43,18.90%
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,J DYN CONTROL SYST,SPRINGER/PLENUM PUBLISHERS,1079-2724,1573-8698,AUTOMATION & CONTROL SYSTEMS,SCIE,628,0.9,Q4,0.36,7.41%
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,J DYN CONTROL SYST,SPRINGER/PLENUM PUBLISHERS,1079-2724,1573-8698,"MATHEMATICS, APPLIED",SCIE,628,0.9,Q3,0.36,7.41%
ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE,ANN DERMATOL VENER,MASSON EDITEUR,0151-9638,2214-5451,DERMATOLOGY,SCIE,"1,206",0.9,Q4,0.29,30.23%
Economics of Governance,ECON GOV,SPRINGER HEIDELBERG,1435-6104,1435-8131,ECONOMICS,SSCI,488,0.9,Q4,0.29,18.18%
SOCIAL CHOICE AND WELFARE,SOC CHOICE WELFARE,SPRINGER,0176-1714,1432-217X,ECONOMICS,SSCI,"1,608",0.9,Q4,0.29,27.83%
SOCIAL CHOICE AND WELFARE,SOC CHOICE WELFARE,SPRINGER,0176-1714,1432-217X,"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,"1,608",0.9,Q4,0.29,27.83%
TRANSPLANTATION PROCEEDINGS,TRANSPL P,ELSEVIER SCIENCE INC,0041-1345,1873-2623,IMMUNOLOGY,SCIE,"12,052",0.9,Q4,0.29,13.30%
TRANSPLANTATION PROCEEDINGS,TRANSPL P,ELSEVIER SCIENCE INC,0041-1345,1873-2623,SURGERY,SCIE,"12,052",0.9,Q4,0.29,13.30%
TRANSPLANTATION PROCEEDINGS,TRANSPL P,ELSEVIER SCIENCE INC,0041-1345,1873-2623,TRANSPLANTATION,SCIE,"12,052",0.9,Q4,0.29,13.30%
Biomolecular NMR Assignments,BIOMOL NMR ASSIGN,SPRINGER,1874-2718,1874-270X,BIOPHYSICS,SCIE,379,0.9,Q4,0.28,35.53%
Biomolecular NMR Assignments,BIOMOL NMR ASSIGN,SPRINGER,1874-2718,1874-270X,SPECTROSCOPY,SCIE,379,0.9,Q4,0.28,35.53%
JOURNAL OF RUSSIAN LASER RESEARCH,J RUSS LASER RES,SPRINGER,1071-2836,1573-8760,OPTICS,SCIE,546,0.9,Q4,0.26,0%
SOCIETY,SOCIETY,SPRINGER,0147-2011,1936-4725,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"1,049",0.9,Q4,0.26,15.06%
SOCIETY,SOCIETY,SPRINGER,0147-2011,1936-4725,SOCIOLOGY,SSCI,"1,049",0.9,Q4,0.26,15.06%
KEW BULLETIN,KEW BULL,SPRINGER LONDON LTD,0075-5974,1874-933X,PLANT SCIENCES,SCIE,"1,741",0.9,Q4,0.25,38.89%
BRITTONIA,BRITTONIA,SPRINGER,0007-196X,1938-436X,PLANT SCIENCES,SCIE,"1,195",0.9,Q4,0.24,1.41%
Inland Water Biology,INLAND WATER BIOL,MAIK NAUKA/INTERPERIODICA/SPRINGER,1995-0829,1995-0837,MARINE & FRESHWATER BIOLOGY,SCIE,508,0.9,Q4,0.24,4.36%
STUDIA GEOPHYSICA ET GEODAETICA,STUD GEOPHYS GEOD,SPRINGER,0039-3169,1573-1626,GEOCHEMISTRY & GEOPHYSICS,SCIE,723,0.9,Q4,0.24,7.02%
Gravitation & Cosmology,GRAVIT COSMOL-RUSSIA,MAIK NAUKA/INTERPERIODICA/SPRINGER,0202-2893,1995-0721,ASTRONOMY & ASTROPHYSICS,SCIE,609,0.9,Q4,0.22,0%
PHARMACEUTICAL CHEMISTRY JOURNAL,PHARM CHEM J+,SPRINGER,0091-150X,1573-9031,"CHEMISTRY, MEDICINAL",SCIE,"2,472",0.9,Q4,0.22,0%
PHARMACEUTICAL CHEMISTRY JOURNAL,PHARM CHEM J+,SPRINGER,0091-150X,1573-9031,PHARMACOLOGY & PHARMACY,SCIE,"2,472",0.9,Q4,0.22,0%
Fluid Dynamics,FLUID DYNAM+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0015-4628,1573-8507,MECHANICS,SCIE,"1,535",0.9,Q4,0.21,4.31%
Fluid Dynamics,FLUID DYNAM+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0015-4628,1573-8507,"PHYSICS, FLUIDS & PLASMAS",SCIE,"1,535",0.9,Q4,0.21,4.31%
JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,J ELECTRON TEST,SPRINGER,0923-8174,1573-0727,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,509,0.9,Q4,0.21,4.70%
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,REV EPIDEMIOL SANTE,MASSON EDITEUR,0398-7620,1773-0627,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,898,0.9,Q4,0.2,30.28%
DOKLADY EARTH SCIENCES,DOKL EARTH SCI,MAIK NAUKA/INTERPERIODICA/SPRINGER,1028-334X,1531-8354,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,911",0.9,Q4,0.18,0.90%
International Journal of Diabetes in Developing Countries,INT J DIABETES DEV C,SPRINGER INDIA,0973-3930,1998-3832,ENDOCRINOLOGY & METABOLISM,SCIE,832,0.9,Q4,0.18,5.90%
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,SPRINGER,0949-1775,1432-0517,"CHEMISTRY, ANALYTICAL",SCIE,838,0.9,Q4,0.17,19.81%
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,SPRINGER,0949-1775,1432-0517,INSTRUMENTS & INSTRUMENTATION,SCIE,838,0.9,Q4,0.17,19.81%
METALLURGIST,METALLURGIST+,SPRINGER,0026-0894,1573-8892,METALLURGY & METALLURGICAL ENGINEERING,SCIE,"1,079",0.9,Q4,0.17,0%
REVUE DE MEDECINE INTERNE,REV MED INTERNE,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0248-8663,N/A,"MEDICINE, GENERAL & INTERNAL",SCIE,"1,326",0.9,Q4,0.15,41.04%
EARTH MOON AND PLANETS,EARTH MOON PLANETS,SPRINGER,0167-9295,1573-0794,ASTRONOMY & ASTROPHYSICS,SCIE,637,0.9,Q4,0.14,11.76%
EARTH MOON AND PLANETS,EARTH MOON PLANETS,SPRINGER,0167-9295,1573-0794,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,637,0.9,Q4,0.14,11.76%
Indian Journal of Hematology and Blood Transfusion,INDIAN J HEMATOL BLO,SPRINGER INDIA,0971-4502,0974-0449,HEMATOLOGY,SCIE,972,0.9,Q4,0.14,4.36%
MATERIALS SCIENCE,MATER SCI+,SPRINGER,1068-820X,1573-885X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"1,266",0.9,Q4,0.13,0%
RUSSIAN JOURNAL OF GENERAL CHEMISTRY,RUSS J GEN CHEM+,MAIK NAUKA/INTERPERIODICA/SPRINGER,1070-3632,1608-3350,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"3,695",0.9,Q4,0.13,2%
DOKLADY PHYSICAL CHEMISTRY,DOKL PHYS CHEM,MAIK NAUKA/INTERPERIODICA/SPRINGER,0012-5016,1608-3121,"CHEMISTRY, PHYSICAL",SCIE,442,0.9,Q4,0.11,2.50%
Chirurgie,CHIRURGIE,SPRINGER HEIDELBERG,2731-6971,2731-698X,SURGERY,SCIE,"1,407",0.9,Q4,0.05,20.10%
Ophthalmologie,OPHTHALMOLOGIE,SPRINGER HEIDELBERG,2731-720X,2731-7218,OPHTHALMOLOGY,SCIE,"1,562",0.9,Q4,0.02,37.04%
Logica Universalis,LOG UNIVERSALIS,SPRINGER BASEL AG,1661-8297,1661-8300,LOGIC,SCIE,160,0.8,Q2,0.88,23.68%
ANNALS OF PURE AND APPLIED LOGIC,ANN PURE APPL LOGIC,ELSEVIER,0168-0072,1873-2461,LOGIC,SCIE,"1,361",0.8,Q2,0.8,22.98%
ANNALS OF PURE AND APPLIED LOGIC,ANN PURE APPL LOGIC,ELSEVIER,0168-0072,1873-2461,MATHEMATICS,SCIE,"1,361",0.8,Q3,0.8,22.98%
ANNALS OF PURE AND APPLIED LOGIC,ANN PURE APPL LOGIC,ELSEVIER,0168-0072,1873-2461,"MATHEMATICS, APPLIED",SCIE,"1,361",0.8,Q4,0.8,22.98%
DISCRETE MATHEMATICS,DISCRETE MATH,ELSEVIER,0012-365X,1872-681X,MATHEMATICS,SCIE,"9,269",0.8,Q3,0.75,10.61%
JOURNAL OF ALGEBRAIC COMBINATORICS,J ALGEBR COMB,SPRINGER,0925-9899,1572-9192,MATHEMATICS,SCIE,"1,301",0.8,Q3,0.74,16.36%
MATHEMATISCHE ZEITSCHRIFT,MATH Z,SPRINGER HEIDELBERG,0025-5874,1432-1823,MATHEMATICS,SCIE,"7,316",0.8,Q3,0.72,26.78%
Journal of Logic Language and Information,J LOGIC LANG INFORM,SPRINGER,0925-8531,1572-9583,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,329,0.8,Q4,0.69,31.18%
Journal of Logic Language and Information,J LOGIC LANG INFORM,SPRINGER,0925-8531,1572-9583,LOGIC,SCIE,329,0.8,Q2,0.69,31.18%
INTEGRAL EQUATIONS AND OPERATOR THEORY,INTEGR EQUAT OPER TH,SPRINGER BASEL AG,0378-620X,1420-8989,MATHEMATICS,SCIE,"1,595",0.8,Q3,0.66,28.48%
Revista Matematica Complutense,REV MAT COMPLUT,SPRINGER-VERLAG ITALIA SRL,1139-1138,1988-2807,MATHEMATICS,SCIE,572,0.8,Q3,0.62,22.22%
Revista Matematica Complutense,REV MAT COMPLUT,SPRINGER-VERLAG ITALIA SRL,1139-1138,1988-2807,"MATHEMATICS, APPLIED",SCIE,572,0.8,Q4,0.62,22.22%
JOURNAL OF PURE AND APPLIED ALGEBRA,J PURE APPL ALGEBRA,ELSEVIER,0022-4049,1873-1376,MATHEMATICS,SCIE,"4,523",0.8,Q3,0.6,15.25%
JOURNAL OF PURE AND APPLIED ALGEBRA,J PURE APPL ALGEBRA,ELSEVIER,0022-4049,1873-1376,"MATHEMATICS, APPLIED",SCIE,"4,523",0.8,Q4,0.6,15.25%
Aequationes Mathematicae,AEQUATIONES MATH,SPRINGER BASEL AG,0001-9054,1420-8903,MATHEMATICS,SCIE,"1,260",0.8,Q3,0.59,34.07%
Aequationes Mathematicae,AEQUATIONES MATH,SPRINGER BASEL AG,0001-9054,1420-8903,"MATHEMATICS, APPLIED",SCIE,"1,260",0.8,Q4,0.59,34.07%
Complex Analysis and Operator Theory,COMPLEX ANAL OPER TH,SPRINGER BASEL AG,1661-8254,1661-8262,MATHEMATICS,SCIE,926,0.8,Q3,0.57,16.82%
Complex Analysis and Operator Theory,COMPLEX ANAL OPER TH,SPRINGER BASEL AG,1661-8254,1661-8262,"MATHEMATICS, APPLIED",SCIE,926,0.8,Q4,0.57,16.82%
JOURNAL OF THE HISTORY OF BIOLOGY,J HIST BIOL,SPRINGER,0022-5010,1573-0387,BIOLOGY,SCIE,812,0.8,Q4,0.53,27.03%
JOURNAL OF THE HISTORY OF BIOLOGY,J HIST BIOL,SPRINGER,0022-5010,1573-0387,HISTORY & PHILOSOPHY OF SCIENCE,SSCI,812,0.8,Q3,0.53,27.03%
JOURNAL OF THE HISTORY OF BIOLOGY,J HIST BIOL,SPRINGER,0022-5010,1573-0387,HISTORY & PHILOSOPHY OF SCIENCE,SCIE,812,0.8,Q2,0.53,27.03%
Periodica Mathematica Hungarica,PERIOD MATH HUNG,SPRINGER,0031-5303,1588-2829,MATHEMATICS,SCIE,718,0.8,Q3,0.52,17.48%
Periodica Mathematica Hungarica,PERIOD MATH HUNG,SPRINGER,0031-5303,1588-2829,"MATHEMATICS, APPLIED",SCIE,718,0.8,Q4,0.52,17.48%
LAW AND PHILOSOPHY,LAW PHILOS,SPRINGER,0167-5249,1573-0522,ETHICS,SSCI,570,0.8,Q4,0.48,31.03%
LAW AND PHILOSOPHY,LAW PHILOS,SPRINGER,0167-5249,1573-0522,LAW,SSCI,570,0.8,Q3,0.48,31.03%
